Date,DXY Curncy,EURUSD Curncy,XAU Curncy,SPA Index,MXWO Index,USGG10YR Index,USDCNH Curncy,INTC US Equity,AMD US Equity,NVDA US Equity,QCOM US Equity,TSM US Equity,XBTUSD Curncy,SPX Index,LG30TRUU Index,LGTRTRUU Index,LUATTRUU Index
19.07.2010,82.513,1.2942,1182.93,NA,1089.31,2.9537,NA,21.59,7.44,10.46,36.77,10.13,0.08,1071.25,744.18,194.37,1846.62
20.07.2010,82.747,1.288,1192.2,NA,1093.51,2.9481,NA,21.65,7.6,10.72,36.75,10.3,0.07,1083.48,744.11,194,1849.29
21.07.2010,83.393,1.2754,1185,NA,1088.38,2.8782,NA,21.26,7.4,10.37,36.16,10.1,0.08,1069.59,746.01,193.79,1853.45
22.07.2010,82.595,1.2893,1194.98,NA,1110.1,2.9353,NA,21.78,7.61,10.54,39.11,10.38,0.05,1093.67,748.64,194.32,1850.24
23.07.2010,82.464,1.2909,1189.14,NA,1117.45,2.9943,NA,21.69,7.82,10.36,39.08,10.46,0.06,1102.66,749.73,193.61,1844.73
24.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.07.2010,82.087,1.2994,1183.5,NA,1129.75,2.9924,NA,21.71,8.07,10.55,39.24,10.57,0.06,1115.01,752.77,194.32,1844.93
27.07.2010,82.185,1.2996,1161.6,NA,1130.92,3.0485,NA,21.58,8.21,10.46,39.22,10.44,0.06,1113.84,755.57,194.2,1840.01
28.07.2010,82.179,1.2995,1163.1,NA,1129.3,2.985,NA,21.33,7.98,10.13,38.76,10.46,0.06,1106.13,756.68,194.6,1844.74
29.07.2010,81.636,1.3079,1168.1,NA,1128.23,2.9794,NA,21.03,7.78,9.13,38.78,10.18,0.07,1101.53,757.71,195.46,1846.35
30.07.2010,81.539,1.3052,1181,NA,1124.83,2.9052,NA,20.6,7.49,9.19,38.08,10.1,0.06,1101.6,757.83,196.13,1855.63
31.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02.08.2010,80.938,1.3179,1182.75,NA,1152.17,2.9609,NA,21.15,7.65,9.18,38.76,10.26,0.06,1125.86,760.62,197.26,1850.41
03.08.2010,80.596,1.3231,1186.25,NA,1152.99,2.9085,NA,20.87,7.51,8.94,38.46,10.23,0.06,1120.46,763.02,198.36,1855.89
04.08.2010,80.892,1.3161,1194.83,NA,1152.5,2.9498,NA,20.73,7.52,9.32,38.43,10.22,0.06,1127.24,763.13,197.74,1851.98
05.08.2010,80.825,1.3189,1194.96,NA,1153.01,2.9011,NA,20.67,7.5,9.44,38.5,10.12,0.06,1125.81,763.95,198.24,1854.89
06.08.2010,80.407,1.328,1205.4,NA,1152.25,2.8166,NA,20.65,7.45,9.55,38.65,9.96,0.06,1121.64,765.78,199.77,1861.55
07.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09.08.2010,80.711,1.3222,1201.23,NA,1158.18,2.8289,NA,20.65,7.42,9.64,39.75,9.95,0.07,1127.79,766.63,199.26,1860.87
10.08.2010,80.799,1.3177,1204.3,NA,1145.36,2.7593,NA,19.82,6.83,9.2425,39.78,9.93,0.07,1121.06,765.25,198.04,1863.4
11.08.2010,82.29,1.2863,1198.15,NA,1112.83,2.6814,NA,19.425,6.49,8.8825,39.36,9.73,0.07,1089.47,761.52,198.1,1871.34
12.08.2010,82.635,1.2829,1213.95,NA,1106.07,2.7455,NA,19.45,6.57,8.961,38.24,9.77,0.07,1083.61,758.73,197.34,1868.99
13.08.2010,82.948,1.2754,1215.43,NA,1103.56,2.6716,NA,19.15,6.49,9.39,37.95,9.7,0.06,1079.25,757.7,196.79,1872.21
14.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.08.2010,82.533,1.2827,1225.35,NA,1106.21,2.5626,NA,19.47,6.62,9.15,38.64,9.77,0.07,1079.38,759.31,198.64,1882.64
17.08.2010,82.226,1.2885,1224.83,NA,1118.89,2.6321,NA,19.53,6.63,9.27,39.14,9.88,0.07,1092.54,760.4,198.62,1877.44
18.08.2010,82.223,1.2853,1229.3,NA,1119.66,2.6321,NA,19.59,6.57,9.32,39.04,9.77,0.07,1094.16,762.1,199.01,1878.28
19.08.2010,82.447,1.2823,1231.96,NA,1106.91,2.575,NA,18.9,6.42,9.88,38.11,9.64,0.07,1075.63,763.17,199.45,1883.7
20.08.2010,83.057,1.2712,1227.89,NA,1093.77,2.6106,NA,18.91,6.25,9.97,38.91,9.68,0.07,1071.69,760.99,198.04,1880.52
21.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.08.2010,83.123,1.2657,1226.15,NA,1093.24,2.5981,6.725,18.7,6.14,9.82,38.54,9.69,0.06,1067.36,761.86,198.31,1881.78
24.08.2010,83.146,1.2627,1230.5,NA,1079.04,2.488,6.7265,18.405,5.99,9.72,38.04,9.54,0.07,1051.87,761.58,199.9,1890.68
25.08.2010,83.261,1.2659,1240.15,NA,1073.83,2.534,6.7325,18.48,6.13,9.92,38.46,9.47,0.06,1055.33,760.27,199.22,1886.85
26.08.2010,82.934,1.2716,1237.6,NA,1077.34,2.4755,6.745,18.18,5.87,9.8,38.28,9.43,0.06,1047.22,760.74,199.88,1890.35
27.08.2010,82.918,1.2763,1237.83,NA,1089.24,2.6447,6.753,18.37,6.08,10.12,38.64,9.65,0.07,1064.59,759.89,198.58,1877.28
28.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.08.2010,83.164,1.2663,1237,NA,1083.62,2.5285,6.765,17.96,5.78,9.64,38.29,9.42,0.06,1048.92,760.5,198.87,1887.33
31.08.2010,83.202,1.268,1247.4,NA,1080.7,2.4683,6.775,17.665,5.61,9.325,38.3,9.4,0.06,1049.33,759.8,199.96,1892.89
01.09.2010,82.522,1.2809,1244.3,NA,1111.52,2.573,6.785,18.14,5.76,9.401,39.5975,9.58,0.06,1080.29,762.4,199.42,1883.42
02.09.2010,82.463,1.2826,1251.06,NA,1119.15,2.6231,6.7805,18.28,5.93,9.57,40.02,9.47,0.06,1090.1,763.8,199.16,1879.87
03.09.2010,82.102,1.2896,1246.55,NA,1131.49,2.697,6.773,18.43,6.09,9.899,40.38,9.77,0.06,1104.51,765.07,198.82,1873.79
04.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.09.2010,82.042,1.2876,1249.95,NA,1136.22,2.7025,6.7645,NA,NA,NA,NA,NA,0.06,NA,765.5,198.83,NA
07.09.2010,82.82,1.2682,1255.7,NA,1123.68,2.5944,6.773,18.12,5.95,9.99,40.57,9.5,0.06,1091.84,765.34,199.02,1883.25
08.09.2010,82.585,1.272,1254.95,NA,1128.58,2.6555,6.775,17.9,5.83,10.32,40.92,9.52,0.06,1098.87,766.02,198.91,1878.68
09.09.2010,82.674,1.2696,1243.6,NA,1136.71,2.7588,6.774,18,5.86,10.18,40.9,9.51,0.06,1104.18,766.39,198.64,1868.44
10.09.2010,82.698,1.2679,1245.98,NA,1139.02,2.7917,6.765,17.97,5.81,10.07,40.42,9.48,0.06,1109.55,767.45,197.65,1865.85
11.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.09.2010,81.912,1.2883,1245.55,NA,1154.48,2.748,6.754,18.5575,6.18,10.64,41,9.86,0.06,1121.9,771.38,198.84,1871.34
14.09.2010,81.08,1.2998,1268.33,NA,1158.15,2.679,6.74,18.74,6.27,10.54,41.11,9.93,0.06,1121.1,773.87,200.35,1877.92
15.09.2010,81.491,1.3011,1268.15,NA,1159.21,2.7207,6.735,18.72,6.22,10.56,41.9775,9.88,0.06,1125.07,775.43,198.91,1873.7
16.09.2010,81.241,1.3078,1275.25,NA,1157.07,2.7608,6.726,18.97,6.15,10.565,41.97,9.96,0.06,1124.66,777.23,198.73,1870.76
17.09.2010,81.398,1.305,1274.18,NA,1156.1,2.7372,6.7035,18.81,6.12,10.55,42.53,9.9075,0.06,1125.59,777.41,198.34,1872.33
18.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.09.2010,81.335,1.3061,1278.25,NA,1171.56,2.7026,6.7,18.9301,6.09,10.7099,43.01,10.07,0.06,1142.71,779.13,198.54,1875.72
21.09.2010,80.439,1.3264,1287.38,NA,1169.47,2.5727,6.64,19.14,6.171,11.29,43.5125,9.9,0.06,1139.78,780.74,199.56,1885.36
22.09.2010,79.83,1.3406,1291.41,NA,1170.55,2.5583,6.635,19.01,6.26,11.39,43.3,9.8,0.06,1134.28,783.22,202.24,1887.9
23.09.2010,80.01,1.3314,1292.4,NA,1163.33,2.5511,NA,18.98,6.4,11.62,43.65,9.66,0.06,1124.83,782.04,202.19,1887.99
24.09.2010,79.395,1.3492,1296.63,NA,1183.03,2.605,6.625,19.4225,6.84,12.26,44.55,9.98,0.06,1148.67,783.51,202.79,1883.25
25.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.09.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.09.2010,79.338,1.3455,1294.5,NA,1180.6,2.5242,6.62,19.235,7.02,11.995,44.59,9.89,0.06,1142.16,785.4,203.3,1891.65
