,google,segment
2010-07-01,0.0,0
2010-07-02,0.0,0
2010-07-03,0.0,0
2010-07-04,0.0,0
2010-07-05,0.0,0
2010-07-06,0.0,0
2010-07-07,0.0,0
2010-07-08,0.0,0
2010-07-09,0.0,0
2010-07-10,0.004792522658788477,0
2010-07-11,0.015575698641062553,0
2010-07-12,0.03834018127030782,0
2010-07-13,0.02276448262924527,0
2010-07-14,0.015575698641062553,0
2010-07-15,0.02396261329394239,0
2010-07-16,0.020368221299851032,0
2010-07-17,0.004792522658788477,0
2010-07-18,0.004792522658788477,0
2010-07-19,0.003594391994091358,0
2010-07-20,0.01917009063515391,0
2010-07-21,0.003594391994091358,0
2010-07-22,0.007188783988182716,0
2010-07-23,0.011981306646971194,0
2010-07-24,0.004792522658788477,0
2010-07-25,0.009585045317576955,0
2010-07-26,0.003594391994091358,0
2010-07-27,0.007188783988182716,0
2010-07-28,0.0,0
2010-07-29,0.007188783988182716,0
2010-07-30,0.003594391994091358,0
2010-07-31,0.010783175982274074,0
2010-08-01,0.0,0
2010-08-02,0.003594391994091358,0
2010-08-03,0.003594391994091358,0
2010-08-04,0.0,0
2010-08-05,0.003594391994091358,0
2010-08-06,0.0,0
2010-08-07,0.010783175982274074,0
2010-08-08,0.004792522658788477,0
2010-08-09,0.003594391994091358,0
2010-08-10,0.0,0
2010-08-11,0.011981306646971194,0
2010-08-12,0.007188783988182716,0
2010-08-13,0.003594391994091358,0
2010-08-14,0.0,0
2010-08-15,0.0,0
2010-08-16,0.007188783988182716,0
2010-08-17,0.0,0
2010-08-18,0.0,0
2010-08-19,0.011981306646971194,0
2010-08-20,0.0,0
2010-08-21,0.0,0
2010-08-22,0.0,0
2010-08-23,0.0,0
2010-08-24,0.003594391994091358,0
2010-08-25,0.0,0
2010-08-26,0.003594391994091358,0
2010-08-27,0.003594391994091358,0
2010-08-28,0.004792522658788477,0
2010-08-29,0.0,0
2010-08-30,0.0,0
2010-08-31,0.007188783988182716,0
2010-09-01,0.003594391994091358,0
2010-09-02,0.007188783988182716,0
2010-09-03,0.0,0
2010-09-04,0.009585045317576955,0
2010-09-05,0.0,0
