date,price,wikipedia,google,dxy,xau,spx,mxwo,qcom,tsm,amd,nvda,high.yield,global.govt,us.govt,dxy.vol,xau.vol,spx.vol,mxwo.vol,qcom.vol,tsm.vol,amd.vol,nvda.vol,high.yield.vol,global.govt.vol,us.govt.vol,tweets
2015-12-09,404.63,34963.0,3.7204100955345423,97.345,1072.78,2047.62,1664.37,48.59,22.73,2.35,32.71,1053.077,201.0437,2134.08,0.0910010762720898,0.11957162301383599,0.126583299721088,0.0920026638676815,0.39523012104193206,0.161781109504216,0.37684615816910205,0.228945274514918,0.0235398682874743,0.0342769915127643,0.0288414351849294,33862.0
2015-12-10,416.85,15921.0,2.4520884720568574,97.939,1071.58,2052.23,1663.88,48.57,22.65,2.45,32.98,1050.617,201.1339,2131.06,0.0924078177668971,0.11946000264506401,0.1267024322392,0.0920048157571927,0.394174495928696,0.15139615123696698,0.365014489253938,0.22120836869039004,0.0238225534712377,0.034234299908659005,0.0290502955696329,25232.0
2015-12-11,423.3,8654.0,1.9870372101150395,97.565,1074.77,2012.37,1637.83,47.46,22.18,2.36,32.49,1042.258,202.0167,2142.77,0.0926739216985515,0.11962529688044402,0.13808828971852696,0.101859618665815,0.39642788757177705,0.162933714207626,0.38199450773259497,0.224130486223557,0.0317411200629386,0.0354869876575306,0.0328362589247867,26210.0
2015-12-12,444.94,5274.0,1.7333728854195027,97.565,1074.77,2012.37,1637.83,47.46,22.18,2.36,32.49,1042.258,202.0167,2142.77,0.0921889512131616,0.11961474586455499,0.132469827538875,0.0963951885345646,0.396532501133284,0.157011725606113,0.36439714244874105,0.223579383983714,0.0313454621453658,0.0355046001889462,0.032805456233383996,23062.0
2015-12-13,431.9,5145.0,1.5642633356224778,97.565,1074.77,2012.37,1637.83,47.46,22.18,2.36,32.49,1042.258,202.0167,2142.77,0.0914618878425879,0.11958965929508099,0.128545487215397,0.0919834041124449,0.39575631697635294,0.149786049854686,0.36343451738288896,0.21374328171367002,0.0305194619160835,0.0355157869948821,0.0324976421971191,21459.0
2015-12-14,436.16,6878.0,1.5642633356224778,97.604,1059.86,2021.94,1632.28,46.83,22.22,2.34,32.57,1031.776,201.794,2133.41,0.0914874688834994,0.12593651869236,0.12932877568687898,0.092398283510681,0.39675993053049197,0.149830858952448,0.365407072753416,0.21357537596913603,0.040883686890107004,0.035799459746931,0.0351878816221983,32070.0
2015-12-15,442.7,7395.0,1.7333728854195027,98.21700000000001,1061.22,2043.41,1646.69,48.02,22.82,2.36,32.97,1035.413,200.2131,2129.18,0.0935287890871023,0.126056524031203,0.13288701650972198,0.0961712634954502,0.405165905695555,0.167738681409834,0.36514856324324196,0.21501756017038398,0.0428237427586407,0.0431749123556034,0.0357234881128581,28842.0
2015-12-16,461.23,6656.0,1.6910954979702464,97.87100000000001,1072.32,2073.07,1668.73,48.07,23.16,2.54,33.17,1037.5710000000001,200.1386,2125.96,0.09288448138555801,0.130059753516369,0.132532129257226,0.10118476692957001,0.401585539074276,0.162562974226915,0.41370485021512,0.20946022906806,0.043633427753756,0.0431772878290993,0.0360081069582364,27652.0
2015-12-17,455.18,5779.0,1.4797085607239655,99.27,1051.1,2041.89,1655.22,47.54,22.96,2.56,32.67,1036.372,199.5413,2131.39,0.10199079311941302,0.13833789924631698,0.13982427075756101,0.10262664621480802,0.40164925786100397,0.16381942752245499,0.4118361661941621,0.215771284607088,0.0428947310590131,0.0436143693020013,0.0366952249936289,23729.0
2015-12-18,454.77,5039.0,1.5219859481732219,98.70299999999999,1066.25,2005.55,1633.75,47.43,22.93,2.45,32.14,1031.718,200.6785,2135.88,0.10325728110163901,0.144881140903828,0.140360522792725,0.104755480903014,0.284072909765335,0.163907261667823,0.3986881536251479,0.215340783761183,0.0440861165899529,0.0463955734094231,0.0371348072733626,24189.0
2015-12-19,461.99,4066.0,1.3951537858254532,98.70299999999999,1066.25,2005.55,1633.75,47.43,22.93,2.45,32.14,1031.718,200.6785,2135.88,0.10149791503440302,0.141250499924639,0.14040825478675598,0.10303480153374199,0.282946166774848,0.16291664671025197,0.398682272190163,0.215303119822493,0.0438027064428223,0.0425555861068597,0.0370109970160946,21372.0
2015-12-20,461.95,3944.0,1.310599010926941,98.70299999999999,1066.25,2005.55,1633.75,47.43,22.93,2.45,32.14,1031.718,200.6785,2135.88,0.0999615387775359,0.140890784907685,0.139659141531297,0.102808520772774,0.272317738775004,0.16170129169916597,0.38704260033469795,0.214127934492563,0.0438736438768447,0.0421852256589575,0.0368936635715587,19855.0
2015-12-21,447.36,5190.0,1.3951537858254532,98.363,1078.4,2021.15,1638.91,48.76,22.95,2.53,32.895,1032.245,201.2592,2135.8,0.10037075633197198,0.144884447388739,0.14208054163193398,0.10357370269787401,0.285040131857733,0.16171410575630701,0.395708286560231,0.22367048703821,0.0439965693831397,0.0428741594113453,0.0368951567714192,24803.0
2015-12-22,437.06,4947.0,1.352876398376197,98.235,1072.43,2038.97,1650.17,49.065,23.06,2.77,32.93,1033.863,201.1513,2130.94,0.10039586195805801,0.14577198097098001,0.144899951590525,0.106154303778448,0.285717623461644,0.16225774124168302,0.46714260360089005,0.223627567864588,0.0445212753322614,0.0429362062723204,0.037555839763429,25707.0
2015-12-23,437.05,5070.0,1.4374311732747096,98.34100000000001,1070.5,2064.29,1671.51,49.04,23.08,2.83,33.055,1035.525,200.40599999999998,2128.23,0.100147912661522,0.143880447914423,0.14977549539059698,0.11321213099537,0.283108227720896,0.158393480849919,0.468319407753409,0.21805760114700898,0.0450909188290879,0.0432962346006701,0.0377072278290738,26011.0
2015-12-24,442.7,4191.0,1.4797085607239655,97.984,1076.1,2060.99,1674.0,49.55,23.15,2.92,33.17,1037.536,201.3406,2130.45,0.10034909529679598,0.14360664971874498,0.149740431743607,0.113343226434806,0.283488610412242,0.158097370535845,0.454672948793325,0.21740233449844698,0.0457499887978578,0.0447251682241751,0.0378100284320228,23679.0
2015-12-25,454.47,2954.0,1.3951537858254532,97.84700000000001,1076.1,2060.99,1673.3,49.55,23.15,2.92,33.17,1037.536,201.34099999999998,2130.45,0.09991478090234,0.14304962340586802,0.14974329962394198,0.11321280404757099,0.282847473581801,0.15803540610956102,0.454230473939265,0.217262952661892,0.0457947893752025,0.044626695830150005,0.0377849213939853,21240.0
2015-12-26,446.76,3676.0,1.352876398376197,97.84700000000001,1076.1,2060.99,1673.3,49.55,23.15,2.92,33.17,1037.536,201.34099999999998,2130.45,0.09991478090234,0.143020451562255,0.14974329962394198,0.11258933414285699,0.282847473581801,0.15803540610956102,0.454230473939265,0.217262952661892,0.04575243174720801,0.044403897148118,0.0377849213939853,21795.0
2015-12-27,422.72,9421.0,1.3951537858254532,97.84700000000001,1076.1,2060.99,1673.3,49.55,23.15,2.92,33.17,1037.536,201.34099999999998,2130.45,0.0995603750098732,0.13670146966153598,0.149717519984535,0.11251349710721001,0.280660700817688,0.157130040543926,0.44700595336210497,0.216541805579784,0.0457896424433477,0.0441443993353082,0.0377794779255122,32284.0
2015-12-28,420.68,5099.0,1.5219859481732219,97.919,1069.08,2056.5,1670.39,49.58,23.01,3.0,33.14,1038.177,201.4502,2132.54,0.0996296278781143,0.13823899929912198,0.14979114663016002,0.11255455421558,0.28065337723524103,0.158440879676398,0.44988446605148097,0.21662377303599697,0.04590271074125799,0.0441336793194969,0.037883690506432,31890.0
2015-12-29,422.21,5788.0,1.352876398376197,98.101,1069.11,2078.36,1685.62,50.88,23.08,3.0,33.68,1038.951,200.7047,2122.96,0.0998872108771674,0.13823838500665803,0.153191306700385,0.11596365466578801,0.289885260085213,0.158547751907285,0.44988446605148097,0.22045175316016896,0.0460445125725841,0.045680503586363004,0.0400902175111612,24417.0
2015-12-30,429.29,4921.0,1.352876398376197,98.266,1061.44,2063.36,1676.43,50.41,22.88,2.98,33.39,1038.67,200.6462,2123.4,0.0999222582329152,0.138485532567322,0.15402276406764498,0.11657752240104198,0.29133966415026,0.15614484047814003,0.45176502638366706,0.221289617729522,0.0460447427690758,0.045032403355623,0.0400841269793123,26654.0
2015-12-31,428.74,4094.0,1.310599010926941,98.631,1061.1,2043.94,1662.79,49.985,22.75,2.87,32.96,1037.933,200.5569,2127.09,0.10023950028812599,0.13787772700724402,0.15267633973294,0.11505129173940401,0.291232651803488,0.141835942640257,0.468316082344892,0.205813266633245,0.0456622070473676,0.0437401298087333,0.0389188164009746,24012.0
2016-01-01,428.85,3369.0,1.310599010926941,98.68299999999999,1061.1,2043.94,1662.79,49.985,22.75,2.87,32.96,1037.933,200.5569,2127.09,0.100030319001786,0.130971770984116,0.149669472647407,0.11303038960121699,0.250121613340203,0.141545211592906,0.45556511944014794,0.204469740398159,0.0457066505348447,0.0428533745838542,0.0388962124657899,20122.0
2016-01-02,433.36,4209.0,1.2683216234776848,98.68299999999999,1061.1,2043.94,1662.79,49.985,22.75,2.87,32.96,1037.933,200.5569,2127.09,0.0710897671980089,0.12892869432894802,0.143796035421653,0.10901408283682301,0.24913346562987598,0.137937393045224,0.449808561584546,0.20432582925179396,0.0453422432020379,0.0426617613234528,0.0320312054963263,19715.0
2016-01-03,433.36,5347.0,1.310599010926941,98.68299999999999,1061.1,2043.94,1662.79,49.985,22.75,2.87,32.96,1037.933,200.5569,2127.09,0.0678364673063059,0.10973003528856401,0.13025930776907302,0.104757316607695,0.24259233404705396,0.128630233549864,0.44851218138964005,0.167157205746904,0.0453728882807052,0.0424181705086881,0.0311273660496135,19638.0
2016-01-04,428.82,6535.0,1.352876398376197,98.869,1074.61,2012.66,1630.89,50.12,22.09,2.77,32.37,1034.683,200.9245,2130.74,0.0680273563453127,0.11638796782311099,0.13691170376839001,0.117851285769339,0.24286421427634,0.152829884731762,0.465118305643339,0.174397473418785,0.0458649408760628,0.0426873812556802,0.0315137532005916,23308.0
2016-01-05,435.9,6309.0,1.3951537858254532,99.404,1077.68,2016.71,1630.64,49.14,21.95,2.75,32.89,1035.968,200.5962,2129.84,0.0696722238591841,0.11675585153305199,0.137196891693773,0.117837752004926,0.248476596353661,0.153288621979876,0.46645831133823706,0.181420251928452,0.0461880597156604,0.0430199131010241,0.0315450827154958,27207.0
2016-01-06,432.62,5354.0,1.352876398376197,99.181,1093.67,1990.26,1610.17,48.64,21.34,2.505,31.53,1035.778,201.3171,2138.64,0.0695807910222417,0.11708895904640598,0.140572430489616,0.121937421997724,0.24928446887017802,0.170924411216737,0.540937641744605,0.21126117870163397,0.0459129921820876,0.0440570177930037,0.0326377078099284,24615.0
2016-01-07,430.49,6199.0,1.6065407230717341,98.219,1108.97,1943.09,1576.32,46.14,21.1,2.275,30.28,1033.435,201.8469,2141.7,0.0750837725541823,0.12295958246768801,0.154396470753464,0.132790408054328,0.23968449007534803,0.17229377801052698,0.6091750033886371,0.234124677398345,0.0443898839715643,0.0445389746689661,0.0327198674037821,24700.0
2016-01-08,454.29,5337.0,1.5642633356224778,98.54,1104.15,1922.03,1561.47,45.875,20.81,2.14,29.63,1035.588,202.6012,2144.08,0.0673960574764197,0.12364132316817801,0.155662184688468,0.13447342031284698,0.23526183745440502,0.17145555030509196,0.6317280057679729,0.23114816146116196,0.0447071554861895,0.0435437964081967,0.0325921750433359,26040.0
2016-01-09,453.71,4003.0,1.352876398376197,98.54,1104.15,1922.03,1561.47,45.875,20.81,2.14,29.63,1035.588,202.6012,2144.08,0.0652319934876661,0.123521167653435,0.15525416916138698,0.134510698890981,0.23528754003877397,0.17165399664727599,0.6175504093498511,0.228823702599563,0.0444130037325621,0.0435460595852384,0.0322580322351821,20585.0
2016-01-10,447.46,4255.0,1.352876398376197,98.54,1104.15,1922.03,1561.47,45.875,20.81,2.14,29.63,1035.588,202.6012,2144.08,0.0641199005214884,0.12340956259719599,0.146341188751051,0.128261624313891,0.22662201867035398,0.16300100145840601,0.6097544847108821,0.22646356555989802,0.0383437265305215,0.0417575957581288,0.0281471745100868,20755.0
2016-01-11,447.29,5604.0,1.352876398376197,98.725,1094.2,1923.67,1557.59,46.07,20.93,2.34,29.68,1032.201,202.2845,2142.47,0.0642647639375316,0.12670080897652802,0.14643879184569,0.128196562653843,0.227134923800257,0.164485640437537,0.665842647837812,0.226712868562904,0.0393393808030821,0.0420319963922351,0.028235255161617994,23867.0
2016-01-12,448.09,5405.0,1.352876398376197,98.97399999999999,1086.56,1938.68,1561.68,46.52,20.75,2.39,30.18,1028.776,201.918,2149.61,0.0645424381061023,0.128586026120982,0.148825788215936,0.12871431235992697,0.229224142751792,0.165497036479191,0.668711346891916,0.233651452877167,0.0402631631513107,0.0423730379505526,0.0298285402654223,27110.0
2016-01-13,442.4,5462.0,1.5219859481732219,98.93299999999999,1093.59,1890.28,1544.28,46.1,20.48,2.25,29.26,1025.435,202.3368,2153.58,0.0645937039016131,0.122322049808706,0.16298019854034,0.131601853746724,0.22750255318363602,0.16794537136011803,0.6910611880934611,0.247114544311776,0.0294847656969917,0.0426613450741305,0.0270435402254437,27094.0
2016-01-14,430.24,5450.0,1.352876398376197,99.089,1078.38,1921.84,1549.06,47.73,21.82,2.21,28.67,1020.05,201.9525,2150.36,0.06233731748526,0.129798704381642,0.16788679932547598,0.12862566515718402,0.23832287302942998,0.24092908107689398,0.692038858413199,0.247076534418836,0.0307946276284849,0.0360339898109186,0.0267205315904387,25568.0
2016-01-15,416.78,6402.0,1.9870372101150395,98.956,1088.88,1880.33,1521.0,45.82,21.1,2.03,27.11,1013.092,203.4408,2158.86,0.0614951455737358,0.129345220420481,0.16985538369731798,0.128474798290393,0.265549919517873,0.252884287898035,0.6938075449634691,0.285714432004575,0.0348599872641417,0.0413105838264796,0.0280854635675789,31035.0
2016-01-16,380.95,5043.0,2.0715919850135522,98.956,1088.88,1880.33,1521.0,45.82,21.1,2.03,27.11,1013.092,203.4408,2158.86,0.0455752451180704,0.113997615606114,0.166297583624734,0.127867847214084,0.264059179044432,0.25247713943289,0.6926836597319751,0.285199466644462,0.0349166845529574,0.0399859159998762,0.0274470771023124,28097.0
2016-01-17,381.85,5098.0,1.7333728854195027,98.956,1088.88,1880.33,1521.0,45.82,21.1,2.03,27.11,1013.092,203.4408,2158.86,0.0423704196233797,0.10705876594224799,0.160103047667042,0.124363481289187,0.264061560502332,0.252572679178324,0.6844582588777021,0.284093828764283,0.0331284011828314,0.0370728455744671,0.0270070524641841,25408.0
2016-01-18,383.97,6754.0,1.6488181105209905,98.956,1089.68,1880.33,1514.05,45.82,21.1,2.03,27.11,1010.8710000000001,202.7529,2158.86,0.0423704196233797,0.10703835613160001,0.160103047667042,0.12430947501673,0.264061560502332,0.252572679178324,0.6844582588777021,0.284093828764283,0.033386391662918,0.0386860283852009,0.0270070524641841,29308.0
2016-01-19,384.97,6419.0,1.5642633356224778,98.991,1087.41,1881.33,1520.49,46.09,21.66,1.95,27.33,1011.382,202.5342,2158.93,0.0423765772702045,0.107328930187302,0.16017191252358098,0.125652635814092,0.26482594198054,0.266012891436328,0.6910926575512021,0.28643367123552,0.0335068414708503,0.0388933618942611,0.0270035224685657,24617.0
2016-01-20,384.51,5912.0,1.6910954979702464,99.09100000000001,1100.92,1859.33,1491.73,45.93,21.09,1.8,27.48,1000.842,203.5426,2165.64,0.0410941894961239,0.10823712607833301,0.15969942824264302,0.133362494652045,0.250703935299171,0.275258992271372,0.7110619476870759,0.27551934207594203,0.0436597812337122,0.0405109120777578,0.0281066744326017,29720.0
2016-01-21,409.94,6119.0,1.5642633356224778,99.056,1101.2,1868.99,1497.87,47.05,21.33,2.09,27.8,1002.552,202.7153,2162.08,0.0408767800353465,0.10663732373926099,0.157781299504368,0.131820219625883,0.26085064827386,0.27745149519316603,0.7985391983422441,0.279484780217276,0.0437338228424821,0.0424380404933606,0.0276300306408902,29595.0
2016-01-22,406.89,5649.0,1.5219859481732219,99.574,1097.95,1906.9,1536.79,48.07,21.93,2.02,28.45,1011.765,202.3159,2158.32,0.043251510785789,0.106939424539003,0.165614017231534,0.14930238043298802,0.26906673713801604,0.290867611603606,0.7961416772950991,0.29045877467967796,0.05223710495075701,0.0413172621528541,0.0279180076544706,27533.0
2016-01-23,386.5,3563.0,1.352876398376197,99.574,1097.95,1906.9,1536.79,48.07,21.93,2.02,28.45,1011.765,202.3159,2158.32,0.0415551126901982,0.106157705283569,0.16576526375407902,0.148995213018281,0.267066679891932,0.290574118965454,0.786793434179572,0.289757494699253,0.0516652924094825,0.03923826503543899,0.0278952435972061,23029.0
