Th	12/01/2016	752.4204
We	11/30/2016	743.2575
Tu	11/29/2016	731.3400
Mo	11/28/2016	731.2725
		
Fr	11/25/2016	737.6925
Th	11/24/2016	736.3276
We	11/23/2016	739.7452
Tu	11/22/2016	747.8851
Mo	11/21/2016	737.4563
		
Fr	11/18/2016	743.2600
Th	11/17/2016	738.3350
We	11/16/2016	741.0105
Tu	11/15/2016	710.9362
Mo	11/14/2016	706.8900
		
Fr	11/11/2016	714.9351
Th	11/10/2016	709.8325
We	11/09/2016	717.2350
Tu	11/08/2016	711.5100
Mo	11/07/2016	706.9025
		
Fr	11/04/2016	698.8625
Th	11/03/2016	695.1825
We	11/02/2016	730.2050
Tu	11/01/2016	727.9700
Mo	10/31/2016	702.1675
		
Fr	10/28/2016	688.3551
Th	10/27/2016	681.1355
We	10/26/2016	669.5825
Tu	10/25/2016	654.0775
Mo	10/24/2016	648.5601
		
Fr	10/21/2016	630.5276
Th	10/20/2016	628.8300
We	10/19/2016	628.4675
Tu	10/18/2016	632.7600
Mo	10/17/2016	637.0975
		
Fr	10/14/2016	638.5825
Th	10/13/2016	635.2375
We	10/12/2016	634.1400
Tu	10/11/2016	637.7250
Mo	10/10/2016	616.8900
		
Fr	10/07/2016	617.9449
Th	10/06/2016	611.7495
We	10/05/2016	612.7900
Tu	10/04/2016	609.2159
Mo	10/03/2016	612.5751
		
Fr	09/30/2016	605.9922
Th	09/29/2016	606.5234
We	09/28/2016	604.3900
Tu	09/27/2016	602.9000
Mo	09/26/2016	606.3425
		
Fr	09/23/2016	602.0025
Th	09/22/2016	596.6125
We	09/21/2016	595.3076
Tu	09/20/2016	608.3851
Mo	09/19/2016	609.3226
		
Fr	09/16/2016	606.8625
Th	09/15/2016	606.8176
We	09/14/2016	609.8550
Tu	09/13/2016	608.6650
Mo	09/12/2016	606.9176
		
Fr	09/09/2016	620.8350
Th	09/08/2016	625.7025
We	09/07/2016	614.5500
Tu	09/06/2016	611.1375
Mo	09/05/2016	607.8839
		
Fr	09/02/2016	574.2275
Th	09/01/2016	571.8959
We	08/31/2016	572.4050
Tu	08/30/2016	575.2151
Mo	08/29/2016	573.1951
		
Fr	08/26/2016	577.8350
Th	08/25/2016	575.7050
We	08/24/2016	579.1150
Tu	08/23/2016	580.9375
Mo	08/22/2016	585.9600
		
Fr	08/19/2016	575.3950
Th	08/18/2016	574.2351
We	08/17/2016	573.2251
Tu	08/16/2016	579.5575
Mo	08/15/2016	568.2250
		
Fr	08/12/2016	586.4575
Th	08/11/2016	589.7209
We	08/10/2016	595.3351
Tu	08/09/2016	586.0250
Mo	08/08/2016	593.5801
		
Fr	08/05/2016	577.2300
Th	08/04/2016	573.5601
We	08/03/2016	568.9630
Tu	08/02/2016	568.5926
Mo	08/01/2016	616.7574
		
Fr	07/29/2016	657.6700
Th	07/28/2016	655.9950
We	07/27/2016	657.2151
Tu	07/26/2016	656.0002
Mo	07/25/2016	655.9376
		
Fr	07/22/2016	657.6475
Th	07/21/2016	664.6000
We	07/20/2016	665.5825
Tu	07/19/2016	671.1950
Mo	07/18/2016	673.0450
		
Fr	07/15/2016	669.0050
Th	07/14/2016	661.2750
We	07/13/2016	662.4351
Tu	07/12/2016	667.8401
Mo	07/11/2016	650.3850
		
Fr	07/08/2016	660.7000
Th	07/07/2016	621.5000
We	07/06/2016	675.1550
Tu	07/05/2016	669.9351
Mo	07/04/2016	675.8300
		
Fr	07/01/2016	677.3600
Th	06/30/2016	665.2650
We	06/29/2016	638.7950
Tu	06/28/2016	647.3910
Mo	06/27/2016	642.8700
		
Fr	06/24/2016	657.0500
Th	06/23/2016	613.3751
We	06/22/2016	611.1051
Tu	06/21/2016	651.8501
Mo	06/20/2016	740.9374
		
Fr	06/17/2016	754.3662
Th	06/16/2016	762.6650
We	06/15/2016	693.4400
Tu	06/14/2016	689.5551
Mo	06/13/2016	689.9950
		
Fr	06/10/2016	578.9776
Th	06/09/2016	575.4626
We	06/08/2016	579.7900
Tu	06/07/2016	577.6825
Mo	06/06/2016	581.6725
		
Fr	06/03/2016	576.5524
Th	06/02/2016	536.2750
We	06/01/2016	535.9050
Tu	05/31/2016	521.7375
Mo	05/30/2016	531.2451
		
Fr	05/27/2016	470.8899
Th	05/26/2016	452.9950
We	05/25/2016	448.1400
Tu	05/24/2016	444.8325
Mo	05/23/2016	442.3051
		
Fr	05/20/2016	441.5551
Th	05/19/2016	443.0599
We	05/18/2016	454.6926
Tu	05/17/2016	453.6550
Mo	05/16/2016	453.1599
		
Fr	05/13/2016	456.1452
Th	05/12/2016	452.6925
We	05/11/2016	452.5150
Tu	05/10/2016	454.5126
Mo	05/09/2016	462.1250
		
Fr	05/06/2016	462.1000
Th	05/05/2016	448.6749
We	05/04/2016	447.3900
Tu	05/03/2016	450.6625
Mo	05/02/2016	446.1050
		
Fr	04/29/2016	455.1451
Th	04/28/2016	449.7100
We	04/27/2016	453.9950
Tu	04/26/2016	469.1000
Mo	04/25/2016	468.4950
		
Fr	04/22/2016	448.5575
Th	04/21/2016	451.1250
We	04/20/2016	442.8200
Tu	04/19/2016	432.6420
Mo	04/18/2016	428.5600
		
Fr	04/15/2016	429.7948
Th	04/14/2016	424.9401
We	04/13/2016	424.6025
Tu	04/12/2016	425.3650
Mo	04/11/2016	422.9818
		
Fr	04/08/2016	419.3400
Th	04/07/2016	422.0000
We	04/06/2016	421.8326
Tu	04/05/2016	421.9374
Mo	04/04/2016	418.9950
		
Fr	04/01/2016	416.6375
Th	03/31/2016	416.8451
We	03/30/2016	413.5299
Tu	03/29/2016	414.9600
Mo	03/28/2016	421.9750
		
Fr	03/25/2016	415.9225
Th	03/24/2016	416.0551
We	03/23/2016	418.1649
Tu	03/22/2016	416.8351
Mo	03/21/2016	410.7550
		
Fr	03/18/2016	405.7750
Th	03/17/2016	418.3650
We	03/16/2016	416.6250
Tu	03/15/2016	415.0676
Mo	03/14/2016	413.7750
		
Fr	03/11/2016	418.6450
Th	03/10/2016	416.1400
We	03/09/2016	411.4275
Tu	03/08/2016	411.3551
Mo	03/07/2016	411.9050
		
Fr	03/04/2016	411.2900
Th	03/03/2016	419.9075
We	03/02/2016	428.0150
Tu	03/01/2016	431.3825
Mo	02/29/2016	433.9125
		
Fr	02/26/2016	423.9649
Th	02/25/2016	423.2687
We	02/24/2016	423.3950
Tu	02/23/2016	420.5601
Mo	02/22/2016	437.2500
		
Fr	02/19/2016	418.6899
Th	02/18/2016	419.8151
We	02/17/2016	418.5850
Tu	02/16/2016	405.5275
Mo	02/15/2016	396.1251
		
Fr	02/12/2016	381.6150
Th	02/11/2016	375.1273
We	02/10/2016	377.6350
Tu	02/09/2016	373.3401
Mo	02/08/2016	372.4150
		
Fr	02/05/2016	384.8800
Th	02/04/2016	386.8350
We	02/03/2016	368.6898
Tu	02/02/2016	373.4299
Mo	02/01/2016	370.1500
		
Fr	01/29/2016	375.1976
Th	01/28/2016	382.2300
We	01/27/2016	394.6450
Tu	01/26/2016	393.1251
Mo	01/25/2016	391.3200
		
Fr	01/22/2016	379.0299
Th	01/21/2016	406.8950
We	01/20/2016	407.1125
Tu	01/19/2016	379.9850
Mo	01/18/2016	383.8749
		
Fr	01/15/2016	387.3099
Th	01/14/2016	432.1250
We	01/13/2016	428.8300
Tu	01/12/2016	447.0450
Mo	01/11/2016	448.9150
		
Fr	01/08/2016	452.4150
Th	01/07/2016	455.3550
We	01/06/2016	430.8049
Tu	01/05/2016	432.5950
Mo	01/04/2016	434.9399
		
Fr	01/01/2016	434.3450
Th	12/31/2015	432.1150
We	12/30/2015	427.1250
Tu	12/29/2015	428.9488
Mo	12/28/2015	419.2050
		
Fr	12/25/2015	455.8750
Th	12/24/2015	453.1851
We	12/23/2015	444.7900
Tu	12/22/2015	436.8565
Mo	12/21/2015	434.6275
		
Fr	12/18/2015	461.6625
Th	12/17/2015	454.6776
We	12/16/2015	457.4350
Tu	12/15/2015	462.9600
Mo	12/14/2015	440.5100
		
Fr	12/11/2015	450.5475
Th	12/10/2015	416.8151
We	12/09/2015	416.1097
Tu	12/08/2015	396.0975
Mo	12/07/2015	393.7151
		
Fr	12/04/2015	362.3975
Th	12/03/2015	360.6125
We	12/02/2015	361.1350
Tu	12/01/2015	360.9976
Mo	11/30/2015	376.8175
		
Fr	11/27/2015	359.5574
Th	11/26/2015	349.5675
We	11/25/2015	328.1550
Tu	11/24/2015	320.9050
Mo	11/23/2015	324.4551
		
Fr	11/20/2015	321.2650
Th	11/19/2015	327.9600
We	11/18/2015	337.1100
Tu	11/17/2015	336.1050
Mo	11/16/2015	330.3309
		
Fr	11/13/2015	332.9325
Th	11/12/2015	326.5028
We	11/11/2015	307.5325
Tu	11/10/2015	334.1461
Mo	11/09/2015	376.6400
		
Fr	11/06/2015	370.0721
Th	11/05/2015	403.0924
We	11/04/2015	411.9614
Tu	11/03/2015	394.9950
Mo	11/02/2015	363.7550
		
Fr	10/30/2015	323.2250
Th	10/29/2015	313.5200
We	10/28/2015	302.0575
Tu	10/27/2015	295.4448
Mo	10/26/2015	286.1549
		
Fr	10/23/2015	278.1150
Th	10/22/2015	275.5150
We	10/21/2015	268.6749
Tu	10/20/2015	270.3700
Mo	10/19/2015	263.9675
		
Fr	10/16/2015	260.4835
Th	10/15/2015	254.7700
We	10/14/2015	253.7600
Tu	10/13/2015	249.4550
Mo	10/12/2015	245.9850
		
Fr	10/09/2015	244.4950
Th	10/08/2015	243.8425
We	10/07/2015	245.0900
Tu	10/06/2015	246.2000
Mo	10/05/2015	239.6125
		
Fr	10/02/2015	237.6000
Th	10/01/2015	237.9450
We	09/30/2015	236.9900
Tu	09/29/2015	237.2250
Mo	09/28/2015	237.8440
		
Fr	09/25/2015	234.6100
Th	09/24/2015	235.0650
We	09/23/2015	230.1650
Tu	09/22/2015	229.9450
Mo	09/21/2015	227.4750
		
Fr	09/18/2015	233.2400
Th	09/17/2015	233.2275
We	09/16/2015	228.1400
Tu	09/15/2015	229.7850
Mo	09/14/2015	231.3650
		
Fr	09/11/2015	239.9025
Th	09/10/2015	239.5000
We	09/09/2015	239.4800
Tu	09/08/2015	244.1100
Mo	09/07/2015	240.7800
		
Fr	09/04/2015	231.0860
Th	09/03/2015	227.3500
We	09/02/2015	229.1950
Tu	09/01/2015	226.9750
Mo	08/31/2015	230.4100
		
Fr	08/28/2015	233.5900
Th	08/27/2015	227.0100
We	08/26/2015	226.8350
Tu	08/25/2015	225.9975
Mo	08/24/2015	215.1700
		
Fr	08/21/2015	233.1350
Th	08/20/2015	236.1300
We	08/19/2015	227.1100
Tu	08/18/2015	250.6550
Mo	08/17/2015	257.8799
		
Fr	08/14/2015	266.5601
Th	08/13/2015	265.3749
We	08/12/2015	269.8950
Tu	08/11/2015	266.2050
Mo	08/10/2015	265.1250
		
Fr	08/07/2015	279.6624
Th	08/06/2015	278.8073
We	08/05/2015	282.8287
Tu	08/04/2015	285.3098
Mo	08/03/2015	283.8949
		
Fr	07/31/2015	284.6949
Th	07/30/2015	287.4824
We	07/29/2015	291.4524
Tu	07/28/2015	295.5924
Mo	07/27/2015	294.9299
		
Fr	07/24/2015	288.1600
Th	07/23/2015	276.9451
We	07/22/2015	276.5250
Tu	07/21/2015	279.2823
Mo	07/20/2015	277.5549
		
Fr	07/17/2015	278.2650
Th	07/16/2015	278.1125
We	07/15/2015	290.7650
Tu	07/14/2015	290.3400
Mo	07/13/2015	289.4850
		
Fr	07/10/2015	287.1299
Th	07/09/2015	270.3099
We	07/08/2015	268.0499
Tu	07/07/2015	265.9174
Mo	07/06/2015	273.9449
		
Fr	07/03/2015	255.2207
Th	07/02/2015	255.8100
We	07/01/2015	258.8450
Tu	06/30/2015	260.9700
Mo	06/29/2015	255.5250
		
Fr	06/26/2015	241.2675
Th	06/25/2015	240.6600
We	06/24/2015	240.9825
Tu	06/23/2015	244.3600
Mo	06/22/2015	247.2425
		
Fr	06/19/2015	246.0350
Th	06/18/2015	249.0750
We	06/17/2015	250.3100
Tu	06/16/2015	246.3155
Mo	06/15/2015	235.9250
		
Fr	06/12/2015	229.9000
Th	06/11/2015	228.7950
We	06/10/2015	228.4612
Tu	06/09/2015	229.8050
Mo	06/08/2015	228.4800
		
Fr	06/05/2015	224.8750
Th	06/04/2015	223.6800
We	06/03/2015	226.9600
Tu	06/02/2015	225.0900
Mo	06/01/2015	221.9750
		
Fr	05/29/2015	235.9475
Th	05/28/2015	236.0800
We	05/27/2015	235.5675
Tu	05/26/2015	236.1977
Mo	05/25/2015	235.5700
		
Fr	05/22/2015	239.5325
Th	05/21/2015	235.5138
We	05/20/2015	233.9247
Tu	05/19/2015	231.8274
Mo	05/18/2015	232.0825
		
Fr	05/15/2015	237.3100
Th	05/14/2015	236.8050
We	05/13/2015	243.2000
Tu	05/12/2015	241.3813
Mo	05/11/2015	242.6100
		
Fr	05/08/2015	245.3050
Th	05/07/2015	237.1950
We	05/06/2015	233.9950
Tu	05/05/2015	234.6925
Mo	05/04/2015	237.5050
		
Fr	05/01/2015	234.8000
Th	04/30/2015	236.5813
We	04/29/2015	226.4800
Tu	04/28/2015	224.4050
Mo	04/27/2015	223.7316
		
Fr	04/24/2015	231.4050
Th	04/23/2015	234.7000
We	04/22/2015	233.6650
Tu	04/21/2015	233.0250
Mo	04/20/2015	224.3500
		
Fr	04/17/2015	223.3110
Th	04/16/2015	228.9850
We	04/15/2015	220.2300
Tu	04/14/2015	218.3080
Mo	04/13/2015	225.1600
		
Fr	04/10/2015	234.9900
Th	04/09/2015	242.9075
We	04/08/2015	246.1050
Tu	04/07/2015	254.9350
Mo	04/06/2015	254.5775
		
Fr	04/03/2015	254.5075
Th	04/02/2015	252.0650
We	04/01/2015	245.8225
Tu	03/31/2015	244.1375
Mo	03/30/2015	247.5200
		
Fr	03/27/2015	248.5525
Th	03/26/2015	248.7625
We	03/25/2015	244.1300
Tu	03/24/2015	247.7575
Mo	03/23/2015	266.4025
		
Fr	03/20/2015	263.1674
Th	03/19/2015	256.9474
We	03/18/2015	263.4224
Tu	03/17/2015	287.4625
Mo	03/16/2015	290.1275
		
Fr	03/13/2015	288.3975
Th	03/12/2015	296.1500
We	03/11/2015	294.5450
Tu	03/10/2015	293.1874
Mo	03/09/2015	289.0724
		
Fr	03/06/2015	273.2524
Th	03/05/2015	279.9274
We	03/04/2015	273.0975
Tu	03/03/2015	283.3600
Mo	03/02/2015	272.8825
		
Fr	02/27/2015	254.8675
Th	02/26/2015	236.4950
We	02/25/2015	237.9650
Tu	02/24/2015	239.3400
Mo	02/23/2015	240.4225
		
Fr	02/20/2015	244.8350
Th	02/19/2015	240.9125
We	02/18/2015	233.4800
Tu	02/17/2015	241.5275
Mo	02/16/2015	237.0050
		
Fr	02/13/2015	234.2475
Th	02/12/2015	222.1975
We	02/11/2015	219.3925
Tu	02/10/2015	219.6975
Mo	02/09/2015	220.9975
		
Fr	02/06/2015	223.3650
Th	02/05/2015	218.7600
We	02/04/2015	224.9775
Tu	02/03/2015	227.8600
Mo	02/02/2015	227.2950
		
Fr	01/30/2015	229.6675
Th	01/29/2015	234.1200
We	01/28/2015	235.9425
Tu	01/27/2015	261.7642
Mo	01/26/2015	271.6099
		
Fr	01/23/2015	237.0130
Th	01/22/2015	231.9175
We	01/21/2015	225.1000
Tu	01/20/2015	211.1825
Mo	01/19/2015	216.2125
		
Fr	01/16/2015	208.3400
Th	01/15/2015	206.6800
We	01/14/2015	183.0672
Tu	01/13/2015	236.0475
Mo	01/12/2015	270.6475
		
Fr	01/09/2015	289.8149
Th	01/08/2015	293.8298
We	01/07/2015	296.1349
Tu	01/06/2015	286.4099
Mo	01/05/2015	270.9298
		
Fr	01/02/2015	314.7299
Th	01/01/2015	314.4900
We	12/31/2014	317.3625
Tu	12/30/2014	310.1725
Mo	12/29/2014	314.2549
		
Fr	12/26/2014	329.4924
Th	12/25/2014	319.4000
We	12/24/2014	321.8699
Tu	12/23/2014	334.9875
Mo	12/22/2014	329.5449
		
Fr	12/19/2014	314.2625
Th	12/18/2014	311.3949
We	12/17/2014	321.0549
Tu	12/16/2014	333.3624
Mo	12/15/2014	348.1475
		
Fr	12/12/2014	356.4274
Th	12/11/2014	350.3300
We	12/10/2014	350.4200
Tu	12/09/2014	352.5450
Mo	12/08/2014	367.7242
		
Fr	12/05/2014	378.6124
Th	12/04/2014	372.9350
We	12/03/2014	378.4199
Tu	12/02/2014	379.3651
Mo	12/01/2014	378.2050
		
Fr	11/28/2014	377.7725
Th	11/27/2014	369.2850
We	11/26/2014	366.5975
Tu	11/25/2014	376.9175
Mo	11/24/2014	378.4401
		
Fr	11/21/2014	353.7975
Th	11/20/2014	357.9650
We	11/19/2014	376.6901
Tu	11/18/2014	378.7250
Mo	11/17/2014	385.8575
		
Fr	11/14/2014	396.4450
Th	11/13/2014	404.7300
We	11/12/2014	426.2950
Tu	11/11/2014	367.9050
Mo	11/10/2014	365.9150
		
Fr	11/07/2014	342.6675
Th	11/06/2014	349.6250
We	11/05/2014	339.7601
Tu	11/04/2014	327.5525
Mo	11/03/2014	327.5050
		
Fr	10/31/2014	342.3826
Th	10/30/2014	347.6175
We	10/29/2014	341.2150
Tu	10/28/2014	355.8776
Mo	10/27/2014	351.8775
		
Fr	10/24/2014	358.0875
Th	10/23/2014	359.6525
We	10/22/2014	384.1925
Tu	10/21/2014	386.6874
Mo	10/20/2014	385.2150
		
Fr	10/17/2014	381.5976
Th	10/16/2014	383.1900
We	10/15/2014	391.8700
Tu	10/14/2014	407.2275
Mo	10/13/2014	388.7675
		
Fr	10/10/2014	358.0475
Th	10/09/2014	366.3050
We	10/08/2014	350.5975
Tu	10/07/2014	330.6801
Mo	10/06/2014	333.3425
		
Fr	10/03/2014	358.6500
Th	10/02/2014	376.8550
We	10/01/2014	383.4525
Tu	09/30/2014	389.6750
Mo	09/29/2014	375.2175
		
Fr	09/26/2014	407.2850
Th	09/25/2014	407.4250
We	09/24/2014	428.4025
Tu	09/23/2014	448.3400
Mo	09/22/2014	402.4700
		
Fr	09/19/2014	396.4650
Th	09/18/2014	417.4426
We	09/17/2014	444.8075
Tu	09/16/2014	463.8875
Mo	09/15/2014	475.6225
		
Fr	09/12/2014	471.4750
Th	09/11/2014	475.5175
We	09/10/2014	483.2425
Tu	09/09/2014	473.0101
Mo	09/08/2014	469.7651
		
Fr	09/05/2014	478.4200
Th	09/04/2014	487.0951
We	09/03/2014	476.6301
Tu	09/02/2014	478.2100
Mo	09/01/2014	481.8725
		
Fr	08/29/2014	509.3525
Th	08/28/2014	508.1549
We	08/27/2014	517.0075
Tu	08/26/2014	509.8375
Mo	08/25/2014	505.4701
		
Fr	08/22/2014	516.9250
Th	08/21/2014	522.7150
We	08/20/2014	514.2075
Tu	08/19/2014	483.3625
Mo	08/18/2014	457.4275
		
Fr	08/15/2014	496.7501
Th	08/14/2014	513.6951
We	08/13/2014	542.9525
Tu	08/12/2014	570.1675
Mo	08/11/2014	575.3100
		
Fr	08/08/2014	591.3201
Th	08/07/2014	591.6800
We	08/06/2014	580.6675
Tu	08/05/2014	579.6475
Mo	08/04/2014	586.8575
		
Fr	08/01/2014	600.0300
Th	07/31/2014	586.3550
We	07/30/2014	564.6251
Tu	07/29/2014	582.2751
Mo	07/28/2014	592.1949
		
Fr	07/25/2014	599.5001
Th	07/24/2014	603.6501
We	07/23/2014	619.9950
Tu	07/22/2014	621.8400
Mo	07/21/2014	620.7775
		
