weekday,date,price_usd
Th,16-06-11,17
Fr,17-06-11,15.68
Mo,27-06-11,16.75
Tu,28-06-11,16.95
We,29-06-11,16.85
Th,30-06-11,16.1
Fr,01-07-11,15.4
Mo,04-07-11,13.86
Tu,05-07-11,12.91
We,06-07-11,14.78
Th,07-07-11,14.78
Fr,08-07-11,14.31
Mo,11-07-11,14.21
Tu,12-07-11,14.01
We,13-07-11,13.95
Th,14-07-11,13.99
Fr,15-07-11,13.81
Mo,18-07-11,13.48
Tu,19-07-11,13.85
We,20-07-11,13.69
Th,21-07-11,13.61
Fr,22-07-11,13.7
Mo,25-07-11,14.05
Tu,26-07-11,13.88
We,27-07-11,13.94
Th,28-07-11,13.49
Fr,29-07-11,13.5
Mo,01-08-11,13.09
Tu,02-08-11,12.05
We,03-08-11,9.26
Th,04-08-11,10.75
Fr,05-08-11,9.8
Mo,08-08-11,7.8
Tu,09-08-11,9.99
We,10-08-11,9.98
Th,11-08-11,9.46
Fr,12-08-11,9.46
Mo,15-08-11,11.15
Tu,16-08-11,10.96
We,17-08-11,10.95
Th,18-08-11,10.83
Fr,19-08-11,11.65
Mo,22-08-11,10.9
Tu,23-08-11,10.94
We,24-08-11,10.85
Th,25-08-11,9.66
Fr,26-08-11,8.18
Mo,29-08-11,8.97
Tu,30-08-11,8.79
We,31-08-11,8.2
Th,01-09-11,8.21
Fr,02-09-11,8.64
Mo,05-09-11,7.61
Tu,06-09-11,6.86
We,07-09-11,7.19
Th,08-09-11,6.53
Fr,09-09-11,5.03
Mo,12-09-11,6.08
Tu,13-09-11,5.8
We,14-09-11,5.62
Th,15-09-11,4.84
Fr,16-09-11,4.82
Mo,19-09-11,5.46
Tu,20-09-11,6.11
We,21-09-11,5.61
Th,22-09-11,5.43
Fr,23-09-11,5.55
Mo,26-09-11,4.87
Tu,27-09-11,4.92
We,28-09-11,4.77
Th,29-09-11,4.78
Fr,30-09-11,5.14
Mo,03-10-11,5.02
Tu,04-10-11,4.96
We,05-10-11,4.87
Th,06-10-11,4.73
Fr,07-10-11,4.27
Mo,10-10-11,4.1
Tu,11-10-11,3.93
We,12-10-11,4.15
Th,13-10-11,4.05
Fr,14-10-11,3.99
Mo,17-10-11,2.56
Tu,18-10-11,2.42
We,19-10-11,2.27
Th,20-10-11,2.35
Fr,21-10-11,2.57
Mo,24-10-11,2.55
Tu,25-10-11,2.77
We,26-10-11,2.77
Th,27-10-11,3.04
Fr,28-10-11,3.19
Mo,31-10-11,3.25
Tu,01-11-11,3.15
We,02-11-11,3.25
Th,03-11-11,3.15
Fr,04-11-11,3.11
Mo,07-11-11,3.01
Tu,08-11-11,3.04
We,09-11-11,2.95
Th,10-11-11,2.84
Fr,11-11-11,3.08
Mo,14-11-11,2.22
Tu,15-11-11,2.33
We,16-11-11,2.56
Th,17-11-11,2.25
Fr,18-11-11,2.05
Mo,21-11-11,2.29
Tu,22-11-11,2.33
We,23-11-11,2.33
Th,24-11-11,2.43
Fr,25-11-11,2.51
Mo,28-11-11,2.55
Tu,29-11-11,2.75
We,30-11-11,2.97
Th,01-12-11,3.06
Fr,02-12-11,3.12
Mo,05-12-11,2.88
Tu,06-12-11,3.03
We,07-12-11,2.99
Th,08-12-11,2.98
Fr,09-12-11,2.97
Mo,12-12-11,3.14
Tu,13-12-11,3.25
We,14-12-11,3.15
Th,15-12-11,3.2
Fr,16-12-11,3.2
Mo,19-12-11,3.52
Tu,20-12-11,3.95
We,21-12-11,3.89
Th,22-12-11,3.89
Fr,23-12-11,3.95
Mo,26-12-11,4.02
Tu,27-12-11,4.07
We,28-12-11,4.19
Th,29-12-11,4.17
Fr,30-12-11,4.25
Mo,02-01-12,5.22
Tu,03-01-12,4.88
We,04-01-12,5.57
Th,05-01-12,6.95
Fr,06-01-12,6.7
Mo,09-01-12,6.33
Tu,10-01-12,6.36
We,11-01-12,6.9
Th,12-01-12,6.8
Fr,13-01-12,6.41
Mo,16-01-12,6.68
Tu,17-01-12,5.6
We,18-01-12,5.92
Th,19-01-12,6.36
Fr,20-01-12,6.49
Mo,23-01-12,6.36
Tu,24-01-12,6.29
We,25-01-12,5.75
Th,26-01-12,5.34
Fr,27-01-12,5.29
Mo,30-01-12,5.49
Tu,31-01-12,5.48
We,01-02-12,6.08
Th,02-02-12,6.1
Fr,03-02-12,5.96
Mo,06-02-12,5.45
Tu,07-02-12,5.69
We,08-02-12,5.6
Th,09-02-12,5.83
Fr,10-02-12,5.91
Mo,13-02-12,5.26
Tu,14-02-12,4.46
We,15-02-12,4.33
Th,16-02-12,4.27
Fr,17-02-12,4.41
Mo,20-02-12,4.36
Tu,21-02-12,4.27
We,22-02-12,4.42
Th,23-02-12,5.02
Fr,24-02-12,5.03
Mo,27-02-12,4.96
Tu,28-02-12,4.87
We,29-02-12,4.86
Th,01-03-12,4.92
Fr,02-03-12,4.7
Mo,05-03-12,4.98
Tu,06-03-12,4.99
We,07-03-12,4.94
Th,08-03-12,4.93
Fr,09-03-12,4.86
Mo,12-03-12,4.89
Tu,13-03-12,5.27
We,14-03-12,5.38
Th,15-03-12,5.33
Fr,16-03-12,5.34
Mo,19-03-12,4.69
Tu,20-03-12,4.84
We,21-03-12,4.81
Th,22-03-12,4.7
Fr,23-03-12,4.69
Mo,26-03-12,4.62
Tu,27-03-12,4.81
We,28-03-12,4.79
Th,29-03-12,4.81
Fr,30-03-12,4.86
Mo,02-04-12,4.97
Tu,03-04-12,4.95
We,04-04-12,4.91
Th,05-04-12,4.92
Fr,06-04-12,4.95
Mo,09-04-12,4.87
Tu,10-04-12,4.84
We,11-04-12,4.93
Th,12-04-12,4.92
Fr,13-04-12,4.94
Mo,16-04-12,4.93
Tu,17-04-12,4.98
We,18-04-12,5.12
Th,19-04-12,5.14
Fr,20-04-12,5.35
Mo,23-04-12,4.96
Tu,24-04-12,5.1
We,25-04-12,5.13
Th,26-04-12,5.1
Fr,27-04-12,5.11
Mo,30-04-12,4.95
Tu,01-05-12,5
We,02-05-12,5.07
Th,03-05-12,5.13
Fr,04-05-12,5.07
Mo,07-05-12,5.06
Tu,08-05-12,5.05
We,09-05-12,5.04
Th,10-05-12,4.85
Fr,11-05-12,4.96
Mo,14-05-12,5.01
Tu,15-05-12,5.04
We,16-05-12,5.09
Th,17-05-12,5.1
Fr,18-05-12,5.12
Mo,21-05-12,5.1
Tu,22-05-12,5.1
We,23-05-12,5.14
Th,24-05-12,5.12
Fr,25-05-12,5.15
Mo,28-05-12,5.14
Tu,29-05-12,5.15
We,30-05-12,5.14
Th,31-05-12,5.18
Fr,01-06-12,5.27
Mo,04-06-12,5.27
Tu,05-06-12,5.44
We,06-06-12,5.46
Th,07-06-12,5.59
Fr,08-06-12,5.63
Mo,11-06-12,5.57
Tu,12-06-12,5.7
We,13-06-12,5.93
Th,14-06-12,5.95
Fr,15-06-12,6.5
Mo,18-06-12,6.31
Tu,19-06-12,6.5
We,20-06-12,6.67
Th,21-06-12,6.68
Fr,22-06-12,6.55
Mo,25-06-12,6.3
Tu,26-06-12,6.42
We,27-06-12,6.65
Th,28-06-12,6.61
Fr,29-06-12,6.65
Mo,02-07-12,6.76
Tu,03-07-12,6.45
We,04-07-12,6.51
Th,05-07-12,6.67
Fr,06-07-12,6.65
Mo,09-07-12,7.02
Tu,10-07-12,7.2
We,11-07-12,7.15
Th,12-07-12,7.76
Fr,13-07-12,7.67
Mo,16-07-12,8.5
Tu,17-07-12,8.8
We,18-07-12,9.11
Th,19-07-12,8.87
Fr,20-07-12,8.52
Mo,23-07-12,8.45
Tu,24-07-12,8.6
We,25-07-12,8.8
Th,26-07-12,8.9
Fr,27-07-12,8.9
Mo,30-07-12,9.1
Tu,31-07-12,9.35
We,01-08-12,9.55
Th,02-08-12,10.53
Fr,03-08-12,10.97
Mo,06-08-12,10.86
Tu,07-08-12,11.1
We,08-08-12,11.06
Th,09-08-12,11.06
Fr,10-08-12,11.39
Mo,13-08-12,12.04
Tu,14-08-12,12.19
We,15-08-12,13.25
Th,16-08-12,13.5
Fr,17-08-12,11.58
Mo,20-08-12,10.1
Tu,21-08-12,9.92
We,22-08-12,9.81
Th,23-08-12,10.1
Fr,24-08-12,10.6
Mo,27-08-12,10.95
Tu,28-08-12,10.94
We,29-08-12,10.92
Th,30-08-12,10.78
Fr,31-08-12,10.16
Mo,03-09-12,10.53
Tu,04-09-12,10.38
We,05-09-12,11
Th,06-09-12,11.18
Fr,07-09-12,11
Mo,10-09-12,11.17
Tu,11-09-12,11.33
We,12-09-12,11.36
Th,13-09-12,11.4
Fr,14-09-12,11.67
Mo,17-09-12,11.89
Tu,18-09-12,12.25
We,19-09-12,12.57
Th,20-09-12,12.28
Fr,21-09-12,12.37
Mo,24-09-12,12.1
Tu,25-09-12,12.2
We,26-09-12,12.27
Th,27-09-12,12.31
Fr,28-09-12,12.39
Mo,01-10-12,12.4
Tu,02-10-12,12.84
We,03-10-12,12.89
Th,04-10-12,12.85
Fr,05-10-12,12.69
Mo,08-10-12,11.78
Tu,09-10-12,11.9
We,10-10-12,12.12
Th,11-10-12,12.03
Fr,12-10-12,12
Mo,15-10-12,11.84
Tu,16-10-12,11.85
We,17-10-12,11.81
Th,18-10-12,11.94
Fr,19-10-12,11.74
Mo,22-10-12,11.71
Tu,23-10-12,11.65
We,24-10-12,11.65
Th,25-10-12,10.86
Fr,26-10-12,10.17
Mo,29-10-12,10.6
Tu,30-10-12,10.89
We,31-10-12,11.2
Th,01-11-12,10.57
Fr,02-11-12,10.47
Mo,05-11-12,10.75
Tu,06-11-12,10.9
We,07-11-12,10.92
Th,08-11-12,10.93
Fr,09-11-12,10.82
Mo,12-11-12,11.01
Tu,13-11-12,10.95
We,14-11-12,10.95
Th,15-11-12,11.2
Fr,16-11-12,11.75
Mo,19-11-12,11.8
Tu,20-11-12,11.73
We,21-11-12,11.77
Th,22-11-12,12.42
Fr,23-11-12,12.35
Mo,26-11-12,12.25
Tu,27-11-12,12.2
We,28-11-12,12.35
Th,29-11-12,12.45
Fr,30-11-12,12.57
Mo,03-12-12,12.68
Tu,04-12-12,13.41
We,05-12-12,13.38
Th,06-12-12,13.3
Fr,07-12-12,13.5
Mo,10-12-12,13.43
Tu,11-12-12,13.56
We,12-12-12,13.7
Th,13-12-12,13.7
Fr,14-12-12,13.6
Mo,17-12-12,13.25
Tu,18-12-12,13.3
We,19-12-12,13.6
Th,20-12-12,13.52
Fr,21-12-12,13.5
Mo,24-12-12,13.38
Tu,25-12-12,13.35
We,26-12-12,13.47
Th,27-12-12,13.42
Fr,28-12-12,13.42
Mo,31-12-12,13.51
Tu,01-01-13,13.3
We,02-01-13,13.28
Th,03-01-13,13.4
Fr,04-01-13,13.5
Mo,07-01-13,13.59
Tu,08-01-13,13.74
We,09-01-13,13.77
Th,10-01-13,14.14
Fr,11-01-13,14.14
Mo,14-01-13,14.3
Tu,15-01-13,14.25
We,16-01-13,14.73
Th,17-01-13,15.5
Fr,18-01-13,15.7
Mo,21-01-13,16.8
Tu,22-01-13,17.26
We,23-01-13,17.5
Th,24-01-13,16.9
Fr,25-01-13,17.4
Mo,28-01-13,18.72
Tu,29-01-13,19.53
We,30-01-13,19.7
Th,31-01-13,20.41
Fr,01-02-13,20.5
Mo,04-02-13,20.43
Tu,05-02-13,20.6
We,06-02-13,21.18
Th,07-02-13,22.15
Fr,08-02-13,22.66
Mo,11-02-13,24.65
Tu,12-02-13,25.17
We,13-02-13,24.2
Th,14-02-13,27.22
Fr,15-02-13,27.1
Mo,18-02-13,26.95
Tu,19-02-13,29.42
We,20-02-13,29.65
Th,21-02-13,29.75
Fr,22-02-13,30.25
Mo,25-02-13,30.4
Tu,26-02-13,31.1
We,27-02-13,30.9
Th,28-02-13,33.38
Fr,01-03-13,34.5
Mo,04-03-13,36.15
Tu,05-03-13,40.33
We,06-03-13,41.02
