date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2009-04-26	9	0	14	6390960	2493	331	0	0
2009-04-27	13	0	13	6916668	2510	331	0	0
2009-04-28	13	0	4	6885744	2537	332	0	0
2009-04-29	13	0	10	6875436	2561	336	0	0
2009-04-30	13	0	12	6205416	2583	338	0	0
2009-05-01	13	0	13	5545704	2615	340	0	0
2009-05-02	9	0	7	5179770	2656	345	0	0
2009-05-03	4	0	9	6427038	2689	345	0	0
2009-05-04	49	0	9	7004286	2721	348	0	0
2009-05-05	111	0	6	6932130	2756	351	0	0
2009-05-06	92	0	9	7169214	2794	352	0	0
2009-05-07	17	0	6	7164060	2826	353	0	0
2009-05-08	18	0	14	6153876	2847	359	0	0
2009-05-09	12	0	17	5782788	2873	364	0	0
2009-05-10	10	0	14	7164060	2897	367	0	0
2009-05-11	19	0	14	7694922	2916	367	0	0
2009-05-12	14	0	10	7813464	2935	369	0	0
2009-05-13	9	0	14	7504224	2961	372	0	0
2009-05-14	14	0	6	7586688	3007	376	0	0
2009-05-15	25	0	7	6061104	3041	376	0	0
2009-05-16	15	0	4	5798250	3066	376	0	0
2009-05-17	17	0	12	6705354	3094	378	0	0
2009-05-18	15	0	6	7694922	3115	379	0	0
2009-05-19	16	0	6	7421760	3130	379	0	0
2009-05-20	18	0	11	7901082	3159	379	0	0
2009-05-21	17	0	8	8076318	3174	379	0	0
2009-05-22	26	0	3	6437346	3184	379	0	0
2009-05-23	7	0	4	5695170	3188	379	0	0
2009-05-24	9	0	5	7865004	3212	379	0	0
2009-05-25	13	0	11	8246400	3231	380	0	0
2009-05-26	27	0	10	8328864	3269	383	0	0
2009-05-27	15	0	8	8565948	3306	384	0	0
2009-05-28	12	0	5	8457714	3322	384	0	0
2009-05-29	22	0	8	6308496	3343	385	0	0
2009-05-30	8	0	6	6648660	3363	388	0	0
2009-05-31	16	0	10	8462868	3387	389	0	0
2009-06-01	24	0	20	8596872	3401	389	0	0
2009-06-02	31	0	13	8864880	3416	391	0	0
2009-06-03	46	0	6	8828802	3425	391	0	0
2009-06-04	29	0	7	9385434	3431	391	0	0
2009-06-05	21	0	9	7421760	3435	391	0	0
2009-06-06	7	0	6	7143444	3436	391	0	0
2009-06-07	5	0	8	9060732	3440	391	0	0
2009-06-08	32	0	5	8833956	3464	392	0	0
2009-06-09	17	0	11	10106994	3490	392	0	0
2009-06-10	17	0	14	10302846	3512	392	0	0
2009-06-11	21	0	11	10282230	3534	392	0	0
2009-06-12	25	0	5	8401020	3557	392	0	0
2009-06-13	14	0	3	8045394	3581	392	0	0
2009-06-14	11	0	5	9735906	3615	394	0	0
2009-06-15	14	0	10	10132764	3640	394	0	0
2009-06-16	32	0	5	10215228	3653	394	0	0
2009-06-17	24	0	13	11179026	3671	395	0	0
2009-06-18	44	0	9	10869786	3694	396	0	0
2009-06-19	30	0	4	8565948	3727	397	0	0
2009-06-20	29	0	12	8488638	3749	397	0	0
2009-06-21	30	0	9	10957404	3774	399	0	0
2009-06-22	21	0	7	10699704	3794	399	0	0
2009-06-23	23	0	7	10916172	3813	400	0	0
2009-06-24	21	0	17	11112024	3847	405	0	0
2009-06-25	38	0	5	10612086	3873	405	0	0
2009-06-26	22	0	7	8895804	3894	408	0	0
2009-06-27	16	0	6	8483484	3915	408	0	0
2009-06-28	16	0	10	10416234	3935	408	0	0
2009-06-29	29	0	13	11756274	3959	410	0	0
2009-06-30	37	0	15	11519190	3984	411	0	0
2009-07-01	19	0	6	11426418	4011	414	0	0
2009-07-02	33	0	18	11014098	4040	415	0	0
2009-07-03	18	0	5	9323586	4068	416	0	0
2009-07-04	14	0	7	9277200	4100	416	0	0
2009-07-05	12	0	2	11209950	4127	416	0	0
2009-07-06	20	0	10	12008820	4155	418	0	0
2009-07-07	24	0	11	12122208	4174	420	0	0
2009-07-08	19	0	14	11946972	4193	421	0	0
2009-07-09	21	0	10	12297444	4226	422	0	0
2009-07-10	26	0	7	9983298	4255	423	0	0
2009-07-11	15	0	8	9962682	4285	424	0	0
2009-07-12	19	0	14	12044898	4309	426	0	0
2009-07-13	20	0	8	12611838	4333	427	0	0
2009-07-14	36	0	16	12988080	4346	427	0	0
2009-07-15	42	0	13	12982926	4355	427	0	0
2009-07-16	36	0	6	12962310	4370	427	0	0
2009-07-17	39	0	7	10462620	4383	427	0	0
2009-07-18	26	0	7	9978144	4387	427	0	0
2009-07-19	52	0	15	12240750	4409	427	0	0
2009-07-20	41	0	5	12534528	4429	427	0	0
2009-07-21	102	0	13	12720072	4447	428	0	0
2009-07-22	37	0	9	13415862	4468	429	0	0
2009-07-23	37	0	15	13122084	4490	430	0	0
2009-07-24	40	0	13	10637856	4510	430	0	0
2009-07-25	22	0	18	10333770	4521	430	0	0
2009-07-26	19	0	10	12415986	4542	432	0	0
2009-07-27	27	0	11	13153008	4559	432	0	0
2009-07-28	17	0	9	13508634	4581	432	0	0
2009-07-29	30	0	15	9699828	4598	433	0	0
2009-07-30	38	0	26	9287508	4613	433	0	0
2009-07-31	30	0	26	9009192	4630	433	0	0
2009-08-01	24	0	11	10070916	4658	436	0	0
2009-08-02	18	0	7	12158286	4681	436	0	0
2009-08-03	49	0	12	12611838	4693	436	0	0
2009-08-04	53	0	9	13498326	4718	436	0	0
2009-08-05	54	0	20	13441632	4746	436	0	0
2009-08-06	43	0	29	13910646	4778	437	0	0
2009-08-07	17	0	11	11081100	4810	437	0	0
2009-08-08	30	0	15	9936912	4840	437	0	0
2009-08-09	29	0	14	12709764	4882	438	0	0
2009-08-10	43	0	7	14132268	4901	438	0	0
2009-08-11	38	0	13	14410584	4919	438	0	0
2009-08-12	40	0	8	14188962	4931	439	0	0
2009-08-13	36	0	13	14663130	4959	439	0	0
2009-08-14	40	0	20	12699456	4976	439	0	0
2009-08-15	37	0	23	12575760	5002	439	0	0
2009-08-16	34	0	12	14029188	5021	440	0	0
2009-08-17	46	0	8	14281734	5038	440	0	0
2009-08-18	49	0	10	14328120	5048	440	0	0
2009-08-19	39	0	16	15090912	5064	440	0	0
2009-08-20	50	0	16	15065142	5078	440	0	0
2009-08-21	95	0	12	12725226	5088	440	0	0
2009-08-22	55	0	8	12534528	5095	440	0	0
2009-08-23	29	0	30	14116806	5109	443	0	0
2009-08-24	55	0	23	14951754	5114	443	0	0
2009-08-25	74	0	14	14178654	5123	443	0	0
2009-08-26	52	0	11	15018756	5129	443	0	0
2009-08-27	54	0	14	15286764	5148	444	0	0
2009-08-28	60	0	8	12343830	5172	447	0	0
2009-08-29	59	0	17	12106746	5196	448	0	0
2009-08-30	52	0	11	13225164	5239	450	0	0
2009-08-31	54	0	9	14652822	5274	452	0	0
