Date,New Topics,New Posts,New Members
29.04.17,483,11967,566
28.04.17,472,14276,558
27.04.17,701,15396,600
26.04.17,612,16532,574
25.04.17,911,15683,617
24.04.17,632,15733,629
23.04.17,820,14190,502
22.04.17,589,11456,310
21.04.17,634,11200,338
20.04.17,796,15215,576
19.04.17,677,15624,556
18.04.17,617,14880,634
17.04.17,636,14323,605
16.04.17,542,12236,472
15.04.17,570,12562,486
14.04.17,571,13394,485
13.04.17,599,13204,529
12.04.17,622,14038,560
11.04.17,599,13635,537
10.04.17,560,13751,557
09.04.17,555,11905,504
08.04.17,581,12129,499
07.04.17,662,13486,599
06.04.17,598,13368,535
05.04.17,607,13257,542
04.04.17,558,13172,522
03.04.17,497,13194,531
02.04.17,491,12198,428
01.04.17,548,11547,485
31.03.17,555,12245,492
30.03.17,544,12739,555
29.03.17,630,13128,546
28.03.17,608,12855,488
27.03.17,517,12673,493
26.03.17,480,12383,419
25.03.17,578,11757,491
24.03.17,659,12226,489
23.03.17,669,13081,489
22.03.17,714,12897,538
21.03.17,602,13401,479
20.03.17,587,14119,489
19.03.17,648,13339,404
18.03.17,562,13106,472
17.03.17,571,13018,435
16.03.17,591,12899,498
15.03.17,646,13558,539
14.03.17,553,12631,512
13.03.17,498,12412,424
12.03.17,453,11581,374
11.03.17,470,10943,424
10.03.17,490,12594,426
09.03.17,480,12195,482
08.03.17,581,12168,444
07.03.17,537,12223,475
06.03.17,569,12231,479
05.03.17,548,11965,398
04.03.17,493,12160,479
03.03.17,533,12753,492
02.03.17,500,12914,485
01.03.17,515,13330,550
28.02.17,583,13189,536
27.02.17,492,12442,447
26.02.17,421,11364,374
25.02.17,448,11724,405
24.02.17,486,12255,407
23.02.17,527,12076,448
22.02.17,483,11714,481
21.02.17,486,11452,498
20.02.17,440,11160,478
19.02.17,442,10562,400
18.02.17,434,10700,459
17.02.17,455,10711,410
16.02.17,451,11410,438
15.02.17,440,11496,441
14.02.17,469,11907,475
13.02.17,426,11769,465
12.02.17,431,11330,354
11.02.17,520,11493,430
10.02.17,465,11541,407
09.02.17,502,12468,472
08.02.17,518,12169,485
07.02.17,508,12261,591
06.02.17,420,11605,457
05.02.17,385,11400,407
04.02.17,474,11202,466
03.02.17,443,12168,497
02.02.17,435,12105,476
01.02.17,417,11763,473
31.01.17,442,11259,434
30.01.17,438,10973,490
29.01.17,363,10348,362
28.01.17,443,10741,446
27.01.17,441,11325,494
26.01.17,460,11748,447
25.01.17,449,11502,487
24.01.17,452,11027,444
23.01.17,412,10882,426
22.01.17,359,9513,347
21.01.17,386,10199,407
20.01.17,437,10704,386
19.01.17,427,11268,459
18.01.17,416,10608,480
17.01.17,449,10557,477
16.01.17,411,10009,447
15.01.17,365,9240,321
14.01.17,459,9487,374
13.01.17,457,10405,402
12.01.17,488,11019,438
11.01.17,504,10961,493
10.01.17,461,10255,404
09.01.17,441,10053,463
08.01.17,383,10401,363
