Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2014-02-17,32
2014-02-18,35
2014-02-19,33
2014-02-20,38
2014-02-21,34
2014-02-22,29
2014-02-23,27
2014-02-24,43
2014-02-25,100
2014-02-26,76
2014-02-27,46
2014-02-28,68
2014-03-01,50
2014-03-02,36
2014-03-03,36
2014-03-04,38
2014-03-05,44
2014-03-06,65
2014-03-07,78
2014-03-08,39
2014-03-09,31
2014-03-10,30
2014-03-11,29
2014-03-12,26
2014-03-13,25
2014-03-14,24
2014-03-15,20
2014-03-16,20
2014-03-17,21
2014-03-18,22
2014-03-19,22
2014-03-20,24
2014-03-21,28
2014-03-22,21
2014-03-23,20
2014-03-24,21
2014-03-25,27
2014-03-26,27
2014-03-27,26
2014-03-28,24
2014-03-29,19
2014-03-30,22
2014-03-31,22
2014-04-01,20
2014-04-02,21
2014-04-03,21
2014-04-04,19
2014-04-05,15
2014-04-06,17
2014-04-07,18
2014-04-08,18
2014-04-09,19
2014-04-10,24
2014-04-11,21
2014-04-12,16
2014-04-13,17
2014-04-14,17
2014-04-15,18
2014-04-16,21
2014-04-17,18
2014-04-18,16
2014-04-19,16
2014-04-20,15
2014-04-21,16
2014-04-22,16
2014-04-23,16
2014-04-24,16
2014-04-25,17
2014-04-26,13
2014-04-27,14
2014-04-28,15
2014-04-29,15
2014-04-30,17
2014-05-01,16
2014-05-02,13
2014-05-03,12
2014-05-04,13
2014-05-05,15
2014-05-06,15
2014-05-07,14
2014-05-08,14
2014-05-09,15
2014-05-10,13
2014-05-11,11
2014-05-12,13
2014-05-13,13
2014-05-14,14
2014-05-15,13
2014-05-16,15
2014-05-17,12
2014-05-18,13
2014-05-19,13
2014-05-20,15
2014-05-21,15
2014-05-22,16
2014-05-23,14
2014-05-24,12
2014-05-25,15
2014-05-26,17
2014-05-27,16
2014-05-28,17
2014-05-29,17
2014-05-30,17
2014-05-31,16
2014-06-01,15
2014-06-02,16
2014-06-03,17
2014-06-04,15
2014-06-05,15
2014-06-06,13
2014-06-07,12
2014-06-08,13
2014-06-09,12
2014-06-10,14
2014-06-11,16
2014-06-12,18
2014-06-13,19
2014-06-14,15
2014-06-15,15
2014-06-16,16
2014-06-17,16
2014-06-18,16
2014-06-19,15
2014-06-20,14
2014-06-21,12
2014-06-22,13
2014-06-23,12
2014-06-24,12
2014-06-25,12
2014-06-26,11
2014-06-27,15
2014-06-28,12
2014-06-29,12
2014-06-30,15
2014-07-01,15
2014-07-02,16
2014-07-03,14
2014-07-04,13
2014-07-05,10
2014-07-06,13
2014-07-07,14
2014-07-08,13
2014-07-09,13
2014-07-10,13
2014-07-11,13
2014-07-12,12
2014-07-13,11
2014-07-14,12
2014-07-15,13
2014-07-16,16
2014-07-17,14
2014-07-18,14
2014-07-19,13
2014-07-20,13
2014-07-21,12
2014-07-22,13
2014-07-23,13
2014-07-24,13
2014-07-25,13
2014-07-26,11
2014-07-27,12
2014-07-28,12
2014-07-29,12
2014-07-30,14
2014-07-31,13
2014-08-01,12
2014-08-02,11
2014-08-03,12
2014-08-04,12
2014-08-05,13
2014-08-06,14
2014-08-07,14
2014-08-08,13
2014-08-09,11
2014-08-10,12
2014-08-11,13
2014-08-12,14
2014-08-13,19
2014-08-14,17
2014-08-15,16
2014-08-16,15
2014-08-17,14
2014-08-18,17
2014-08-19,14
2014-08-20,14
2014-08-21,14
2014-08-22,14
2014-08-23,12
2014-08-24,12
2014-08-25,11
2014-08-26,13
2014-08-27,12
2014-08-28,12
2014-08-29,12
2014-08-30,11
2014-08-31,13
2014-09-01,15
2014-09-02,14
2014-09-03,14
2014-09-04,14
2014-09-05,14
2014-09-06,13
2014-09-07,11
2014-09-08,13
2014-09-09,15
2014-09-10,17
2014-09-11,19
2014-09-12,15
2014-09-13,11
2014-09-14,13
2014-09-15,13
2014-09-16,13
2014-09-17,13
2014-09-18,14
2014-09-19,16
2014-09-20,13
2014-09-21,13
2014-09-22,13
2014-09-23,16
2014-09-24,16
2014-09-25,14
2014-09-26,13
2014-09-27,12
2014-09-28,13
2014-09-29,14
2014-09-30,14
2014-10-01,13
2014-10-02,13
2014-10-03,13
2014-10-04,14
2014-10-05,17
2014-10-06,19
2014-10-07,16
2014-10-08,15
2014-10-09,15
2014-10-10,14
2014-10-11,13
2014-10-12,12
2014-10-13,13
2014-10-14,15
2014-10-15,14
2014-10-16,13
2014-10-17,12
2014-10-18,12
2014-10-19,11
2014-10-20,12
2014-10-21,12
2014-10-22,12
2014-10-23,13
2014-10-24,11
2014-10-25,11
