Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2010-11-25,0
2010-11-26,1
2010-11-27,1
2010-11-28,1
2010-11-29,1
2010-11-30,1
2010-12-01,1
2010-12-02,0
2010-12-03,1
2010-12-04,1
2010-12-05,1
2010-12-06,0
2010-12-07,1
2010-12-08,1
2010-12-09,1
2010-12-10,0
2010-12-11,1
2010-12-12,2
2010-12-13,2
2010-12-14,1
2010-12-15,1
2010-12-16,1
2010-12-17,1
2010-12-18,2
2010-12-19,1
2010-12-20,0
2010-12-21,1
2010-12-22,0
2010-12-23,1
2010-12-24,1
2010-12-25,1
2010-12-26,2
2010-12-27,1
2010-12-28,1
2010-12-29,1
2010-12-30,1
2010-12-31,1
2011-01-01,0
2011-01-02,1
2011-01-03,1
2011-01-04,1
2011-01-05,1
2011-01-06,1
2011-01-07,1
2011-01-08,1
2011-01-09,1
2011-01-10,1
2011-01-11,0
2011-01-12,1
2011-01-13,1
2011-01-14,1
2011-01-15,1
2011-01-16,0
2011-01-17,1
2011-01-18,1
2011-01-19,1
2011-01-20,1
2011-01-21,1
2011-01-22,1
2011-01-23,1
2011-01-24,1
2011-01-25,1
2011-01-26,1
2011-01-27,1
2011-01-28,1
2011-01-29,1
2011-01-30,1
2011-01-31,1
2011-02-01,0
2011-02-02,0
2011-02-03,1
2011-02-04,0
2011-02-05,1
2011-02-06,1
2011-02-07,1
2011-02-08,1
2011-02-09,1
2011-02-10,7
2011-02-11,9
2011-02-12,3
2011-02-13,5
2011-02-14,4
2011-02-15,4
2011-02-16,3
2011-02-17,3
2011-02-18,5
2011-02-19,3
2011-02-20,2
2011-02-21,3
2011-02-22,4
2011-02-23,2
2011-02-24,2
2011-02-25,3
2011-02-26,3
2011-02-27,4
2011-02-28,4
2011-03-01,4
2011-03-02,4
2011-03-03,2
2011-03-04,2
2011-03-05,2
2011-03-06,3
2011-03-07,3
2011-03-08,3
2011-03-09,2
2011-03-10,2
2011-03-11,2
2011-03-12,2
2011-03-13,1
2011-03-14,2
2011-03-15,2
2011-03-16,1
2011-03-17,2
2011-03-18,2
2011-03-19,2
2011-03-20,1
2011-03-21,7
2011-03-22,4
2011-03-23,11
2011-03-24,5
2011-03-25,4
2011-03-26,4
2011-03-27,4
2011-03-28,3
2011-03-29,2
2011-03-30,3
2011-03-31,1
2011-04-01,3
2011-04-02,2
2011-04-03,3
2011-04-04,4
2011-04-05,5
2011-04-06,3
2011-04-07,3
2011-04-08,3
2011-04-09,4
2011-04-10,4
2011-04-11,2
2011-04-12,4
2011-04-13,3
2011-04-14,2
2011-04-15,4
2011-04-16,7
2011-04-17,5
2011-04-18,6
2011-04-19,5
2011-04-20,3
2011-04-21,5
2011-04-22,3
2011-04-23,6
2011-04-24,6
2011-04-25,6
2011-04-26,5
2011-04-27,7
2011-04-28,6
2011-04-29,6
2011-04-30,10
2011-05-01,10
2011-05-02,7
2011-05-03,7
2011-05-04,6
2011-05-05,7
2011-05-06,7
2011-05-07,7
2011-05-08,10
2011-05-09,10
2011-05-10,9
2011-05-11,9
2011-05-12,10
2011-05-13,12
2011-05-14,14
2011-05-15,10
2011-05-16,47
2011-05-17,33
2011-05-18,23
2011-05-19,53
2011-05-20,42
2011-05-21,27
2011-05-22,30
2011-05-23,31
2011-05-24,31
2011-05-25,47
2011-05-26,31
2011-05-27,26
2011-05-28,24
2011-05-29,25
2011-05-30,29
2011-05-31,65
2011-06-01,57
2011-06-02,67
2011-06-03,65
2011-06-04,59
2011-06-05,61
2011-06-06,63
2011-06-07,54
2011-06-08,75
2011-06-09,84
2011-06-10,78
2011-06-11,95
2011-06-12,100
2011-06-13,81
2011-06-14,76
2011-06-15,88
2011-06-16,94
2011-06-17,85
2011-06-18,76
2011-06-19,79
2011-06-20,100
2011-06-21,80
2011-06-22,78
2011-06-23,61
2011-06-24,47
2011-06-25,42
2011-06-26,46
2011-06-27,46
2011-06-28,43
2011-06-29,38
2011-06-30,38
2011-07-01,40
2011-07-02,35
2011-07-03,37
2011-07-04,30
2011-07-05,33
2011-07-06,33
2011-07-07,54
2011-07-08,33
2011-07-09,30
2011-07-10,36
2011-07-11,30
2011-07-12,26
2011-07-13,26
2011-07-14,37
2011-07-15,28
2011-07-16,26
2011-07-17,28
2011-07-18,30
2011-07-19,35
2011-07-20,34
2011-07-21,28
2011-07-22,22
2011-07-23,24
2011-07-24,26
2011-07-25,27
2011-07-26,27
2011-07-27,28
2011-07-28,25
2011-07-29,21
2011-07-30,23
2011-07-31,28
2011-08-01,27
2011-08-02,29
2011-08-03,32
2011-08-04,31
2011-08-05,31
2011-08-06,35
2011-08-07,38
2011-08-08,31
2011-08-09,29
2011-08-10,26
2011-08-11,22
2011-08-12,20
