Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2017-04-22,4
2017-04-23,4
2017-04-24,5
2017-04-25,5
2017-04-26,5
2017-04-27,5
2017-04-28,5
2017-04-29,5
2017-04-30,5
2017-05-01,6
2017-05-02,7
2017-05-03,7
2017-05-04,9
2017-05-05,8
2017-05-06,7
2017-05-07,7
2017-05-08,7
2017-05-09,10
2017-05-10,9
2017-05-11,10
2017-05-12,12
2017-05-13,12
2017-05-14,10
2017-05-15,14
2017-05-16,13
2017-05-17,11
2017-05-18,9
2017-05-19,11
2017-05-20,11
2017-05-21,11
2017-05-22,18
2017-05-23,18
2017-05-24,20
2017-05-25,27
2017-05-26,21
2017-05-27,17
2017-05-28,13
2017-05-29,13
2017-05-30,13
2017-05-31,12
2017-06-01,12
2017-06-02,11
2017-06-03,10
2017-06-04,10
2017-06-05,11
2017-06-06,15
2017-06-07,13
2017-06-08,11
2017-06-09,11
2017-06-10,11
2017-06-11,11
2017-06-12,15
2017-06-13,13
2017-06-14,13
2017-06-15,15
2017-06-16,13
2017-06-17,11
2017-06-18,10
2017-06-19,11
2017-06-20,11
2017-06-21,11
2017-06-22,11
2017-06-23,11
2017-06-24,10
2017-06-25,10
2017-06-26,12
2017-06-27,13
2017-06-28,13
2017-06-29,10
2017-06-30,9
2017-07-01,9
2017-07-02,9
2017-07-03,9
2017-07-04,9
2017-07-05,9
2017-07-06,9
2017-07-07,9
2017-07-08,8
2017-07-09,9
2017-07-10,10
2017-07-11,11
2017-07-12,10
2017-07-13,10
2017-07-14,10
2017-07-15,11
2017-07-16,13
2017-07-17,12
2017-07-18,12
2017-07-19,11
2017-07-20,12
2017-07-21,12
2017-07-22,11
2017-07-23,10
2017-07-24,11
2017-07-25,11
2017-07-26,11
2017-07-27,11
2017-07-28,12
2017-07-29,10
2017-07-30,9
2017-07-31,12
2017-08-01,21
2017-08-02,19
2017-08-03,13
2017-08-04,12
2017-08-05,15
2017-08-06,13
2017-08-07,15
2017-08-08,16
2017-08-09,14
2017-08-10,13
2017-08-11,14
2017-08-12,16
2017-08-13,20
2017-08-14,23
2017-08-15,22
2017-08-16,19
2017-08-17,18
2017-08-18,18
2017-08-19,17
2017-08-20,16
2017-08-21,16
2017-08-22,18
2017-08-23,16
2017-08-24,15
2017-08-25,16
2017-08-26,14
2017-08-27,13
2017-08-28,14
2017-08-29,17
2017-08-30,17
2017-08-31,19
2017-09-01,20
2017-09-02,19
2017-09-03,17
2017-09-04,20
2017-09-05,21
2017-09-06,18
2017-09-07,16
2017-09-08,18
2017-09-09,14
2017-09-10,15
2017-09-11,16
2017-09-12,16
2017-09-13,22
2017-09-14,27
2017-09-15,30
2017-09-16,20
2017-09-17,16
2017-09-18,19
2017-09-19,17
2017-09-20,15
2017-09-21,15
2017-09-22,14
2017-09-23,12
2017-09-24,11
2017-09-25,13
2017-09-26,12
2017-09-27,14
2017-09-28,13
2017-09-29,13
2017-09-30,12
2017-10-01,12
2017-10-02,13
2017-10-03,13
2017-10-04,12
2017-10-05,12
2017-10-06,12
2017-10-07,11
2017-10-08,12
2017-10-09,14
2017-10-10,15
2017-10-11,15
2017-10-12,25
2017-10-13,29
2017-10-14,20
2017-10-15,19
2017-10-16,19
2017-10-17,18
2017-10-18,18
2017-10-19,18
2017-10-20,21
2017-10-21,23
2017-10-22,19
2017-10-23,22
2017-10-24,24
2017-10-25,22
2017-10-26,21
2017-10-27,19
2017-10-28,16
2017-10-29,17
2017-10-30,20
2017-10-31,24
2017-11-01,29
2017-11-02,39
2017-11-03,35
2017-11-04,27
2017-11-05,27
2017-11-06,28
2017-11-07,26
2017-11-08,29
2017-11-09,28
2017-11-10,32
2017-11-11,32
2017-11-12,40
2017-11-13,36
2017-11-14,27
2017-11-15,27
2017-11-16,28
2017-11-17,32
2017-11-18,24
2017-11-19,23
2017-11-20,30
2017-11-21,33
2017-11-22,28
2017-11-23,26
2017-11-24,25
2017-11-25,26
2017-11-26,38
2017-11-27,53
2017-11-28,61
2017-11-29,100
2017-11-30,82
