Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2010-07-16,15
2010-07-17,12
2010-07-18,18
2010-07-19,7
2010-07-20,11
2010-07-21,7
2010-07-22,7
2010-07-23,9
2010-07-24,10
2010-07-25,10
2010-07-26,6
2010-07-27,9
2010-07-28,6
2010-07-29,6
2010-07-30,8
2010-07-31,13
2010-08-01,6
2010-08-02,8
2010-08-03,9
2010-08-04,0
2010-08-05,4
2010-08-06,14
2010-08-07,11
2010-08-08,5
2010-08-09,7
2010-08-10,8
2010-08-11,8
2010-08-12,4
2010-08-13,7
2010-08-14,0
2010-08-15,5
2010-08-16,5
2010-08-17,7
2010-08-18,4
2010-08-19,4
2010-08-20,7
2010-08-21,7
2010-08-22,5
2010-08-23,8
2010-08-24,4
2010-08-25,6
2010-08-26,4
2010-08-27,5
2010-08-28,7
2010-08-29,5
2010-08-30,4
2010-08-31,9
2010-09-01,4
2010-09-02,7
2010-09-03,4
2010-09-04,5
2010-09-05,5
2010-09-06,7
2010-09-07,3
2010-09-08,5
2010-09-09,4
2010-09-10,4
2010-09-11,7
2010-09-12,0
2010-09-13,5
2010-09-14,6
2010-09-15,8
2010-09-16,4
2010-09-17,7
2010-09-18,9
2010-09-19,7
2010-09-20,9
2010-09-21,7
2010-09-22,9
2010-09-23,4
2010-09-24,8
2010-09-25,4
2010-09-26,0
2010-09-27,3
2010-09-28,6
2010-09-29,6
2010-09-30,8
2010-10-01,5
2010-10-02,6
2010-10-03,4
2010-10-04,3
2010-10-05,4
2010-10-06,4
2010-10-07,5
2010-10-08,6
2010-10-09,6
2010-10-10,5
2010-10-11,3
2010-10-12,0
2010-10-13,3
2010-10-14,3
2010-10-15,6
2010-10-16,6
2010-10-17,7
2010-10-18,4
2010-10-19,5
2010-10-20,8
2010-10-21,5
2010-10-22,12
2010-10-23,6
2010-10-24,5
2010-10-25,7
2010-10-26,5
2010-10-27,11
2010-10-28,7
2010-10-29,7
2010-10-30,6
2010-10-31,7
2010-11-01,8
2010-11-02,4
2010-11-03,3
2010-11-04,5
2010-11-05,7
2010-11-06,0
2010-11-07,10
2010-11-08,7
2010-11-09,8
2010-11-10,7
2010-11-11,8
2010-11-12,8
2010-11-13,6
2010-11-14,7
2010-11-15,21
2010-11-16,9
2010-11-17,7
2010-11-18,8
2010-11-19,4
2010-11-20,6
2010-11-21,5
2010-11-22,12
2010-11-23,5
2010-11-24,6
2010-11-25,5
2010-11-26,10
2010-11-27,10
2010-11-28,8
2010-11-29,5
2010-11-30,12
2010-12-01,14
2010-12-02,8
2010-12-03,5
2010-12-04,0
2010-12-05,16
2010-12-06,11
2010-12-07,15
2010-12-08,17
2010-12-09,7
2010-12-10,7
2010-12-11,18
2010-12-12,27
2010-12-13,24
2010-12-14,11
2010-12-15,14
2010-12-16,10
2010-12-17,6
2010-12-18,13
2010-12-19,12
2010-12-20,14
2010-12-21,12
2010-12-22,8
2010-12-23,15
2010-12-24,20
2010-12-25,12
2010-12-26,17
2010-12-27,8
2010-12-28,12
2010-12-29,9
2010-12-30,16
2010-12-31,10
2011-01-01,8
2011-01-02,7
2011-01-03,12
2011-01-04,8
2011-01-05,9
2011-01-06,16
2011-01-07,10
2011-01-08,6
2011-01-09,10
2011-01-10,8
2011-01-11,6
2011-01-12,11
2011-01-13,10
2011-01-14,8
2011-01-15,17
2011-01-16,9
2011-01-17,10
2011-01-18,8
2011-01-19,9
2011-01-20,7
2011-01-21,13
2011-01-22,15
2011-01-23,10
2011-01-24,9
2011-01-25,5
2011-01-26,9
2011-01-27,7
2011-01-28,9
2011-01-29,10
2011-01-30,11
2011-01-31,7
2011-02-01,8
2011-02-02,8
2011-02-03,11
2011-02-04,13
2011-02-05,11
2011-02-06,13
2011-02-07,10
2011-02-08,7
2011-02-09,17
2011-02-10,90
2011-02-11,100
2011-02-12,61
2011-02-13,60
2011-02-14,45
2011-02-15,43
2011-02-16,28
2011-02-17,33
2011-02-18,33
2011-02-19,33
2011-02-20,35
2011-02-21,48
2011-02-22,52
2011-02-23,36
2011-02-24,24
2011-02-25,33
2011-02-26,35
2011-02-27,33
2011-02-28,55
2011-03-01,42
2011-03-02,43
2011-03-03,35
2011-03-04,25
