Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2012-04-28,26
2012-04-29,28
2012-04-30,26
2012-05-01,27
2012-05-02,24
2012-05-03,23
2012-05-04,22
2012-05-05,26
2012-05-06,50
2012-05-07,35
2012-05-08,22
2012-05-09,23
2012-05-10,27
2012-05-11,28
2012-05-12,32
2012-05-13,32
2012-05-14,31
2012-05-15,28
2012-05-16,24
2012-05-17,20
2012-05-18,24
2012-05-19,20
2012-05-20,22
2012-05-21,29
2012-05-22,31
2012-05-23,29
2012-05-24,22
2012-05-25,21
2012-05-26,25
2012-05-27,24
2012-05-28,23
2012-05-29,21
2012-05-30,22
2012-05-31,23
2012-06-01,24
2012-06-02,22
2012-06-03,22
2012-06-04,19
2012-06-05,22
2012-06-06,20
2012-06-07,21
2012-06-08,29
2012-06-09,36
2012-06-10,27
2012-06-11,30
2012-06-12,28
2012-06-13,36
2012-06-14,27
2012-06-15,24
2012-06-16,28
2012-06-17,29
2012-06-18,26
2012-06-19,30
2012-06-20,28
2012-06-21,27
2012-06-22,25
2012-06-23,29
2012-06-24,27
2012-06-25,24
2012-06-26,23
2012-06-27,25
2012-06-28,26
2012-06-29,25
2012-06-30,26
2012-07-01,30
2012-07-02,27
2012-07-03,22
2012-07-04,22
2012-07-05,20
2012-07-06,22
2012-07-07,26
2012-07-08,26
2012-07-09,35
2012-07-10,29
2012-07-11,30
2012-07-12,30
2012-07-13,30
2012-07-14,26
2012-07-15,31
2012-07-16,31
2012-07-17,32
2012-07-18,34
2012-07-19,38
2012-07-20,39
2012-07-21,37
2012-07-22,35
2012-07-23,32
2012-07-24,28
2012-07-25,25
2012-07-26,32
2012-07-27,27
2012-07-28,22
2012-07-29,26
2012-07-30,27
2012-07-31,31
2012-08-01,29
2012-08-02,31
2012-08-03,31
2012-08-04,32
2012-08-05,34
2012-08-06,33
2012-08-07,34
2012-08-08,35
2012-08-09,36
2012-08-10,33
2012-08-11,32
2012-08-12,37
2012-08-13,36
2012-08-14,41
2012-08-15,41
2012-08-16,42
2012-08-17,48
2012-08-18,42
2012-08-19,49
2012-08-20,42
2012-08-21,57
2012-08-22,49
2012-08-23,49
2012-08-24,37
2012-08-25,41
2012-08-26,36
2012-08-27,37
2012-08-28,35
2012-08-29,41
2012-08-30,31
2012-08-31,28
2012-09-01,30
2012-09-02,30
2012-09-03,31
2012-09-04,30
2012-09-05,100
2012-09-06,88
2012-09-07,52
2012-09-08,46
2012-09-09,51
2012-09-10,38
2012-09-11,38
2012-09-12,36
2012-09-13,34
2012-09-14,34
2012-09-15,35
2012-09-16,34
2012-09-17,37
2012-09-18,36
2012-09-19,43
2012-09-20,34
2012-09-21,31
2012-09-22,29
2012-09-23,35
2012-09-24,37
2012-09-25,35
2012-09-26,36
2012-09-27,39
2012-09-28,35
2012-09-29,34
2012-09-30,35
2012-10-01,39
2012-10-02,39
2012-10-03,39
2012-10-04,32
2012-10-05,36
2012-10-06,31
2012-10-07,32
2012-10-08,30
2012-10-09,32
2012-10-10,32
2012-10-11,38
2012-10-12,39
2012-10-13,33
2012-10-14,34
2012-10-15,30
2012-10-16,32
2012-10-17,29
2012-10-18,33
2012-10-19,32
2012-10-20,34
2012-10-21,32
2012-10-22,29
2012-10-23,27
2012-10-24,30
2012-10-25,30
2012-10-26,29
2012-10-27,30
2012-10-28,30
2012-10-29,24
2012-10-30,27
2012-10-31,28
2012-11-01,30
2012-11-02,26
2012-11-03,27
2012-11-04,33
2012-11-05,31
2012-11-06,30
2012-11-07,29
2012-11-08,30
2012-11-09,28
2012-11-10,29
2012-11-11,33
2012-11-12,35
2012-11-13,32
2012-11-14,27
2012-11-15,28
2012-11-16,53
2012-11-17,47
2012-11-18,40
2012-11-19,43
2012-11-20,33
2012-11-21,35
2012-11-22,33
2012-11-23,30
2012-11-24,33
2012-11-25,32
2012-11-26,46
2012-11-27,40
2012-11-28,69
2012-11-29,44
2012-11-30,36
2012-12-01,34
2012-12-02,40
2012-12-03,37
2012-12-04,36
2012-12-05,40
2012-12-06,44
2012-12-07,46
2012-12-08,59
2012-12-09,63
2012-12-10,55
2012-12-11,56
2012-12-12,51
2012-12-13,41
2012-12-14,42
2012-12-15,36
2012-12-16,33
2012-12-17,38
2012-12-18,39
2012-12-19,31
2012-12-20,34
2012-12-21,28
2012-12-22,33
2012-12-23,32
2012-12-24,30
2012-12-25,34
2012-12-26,33
2012-12-27,34
2012-12-28,31
2012-12-29,32
2012-12-30,35
2012-12-31,30
2013-01-01,28
2013-01-02,37
2013-01-03,42
2013-01-04,43
2013-01-05,50
2013-01-06,51
2013-01-07,44
2013-01-08,44
2013-01-09,46
2013-01-10,47
2013-01-11,41
2013-01-12,44
2013-01-13,46
