Date,"Bitcoin"
2016-05-14,7664
2016-05-15,8446
2016-05-16,8493
2016-05-17,5504
2016-05-18,6544
2016-05-19,8401
2016-05-20,5039
2016-05-21,3523
2016-05-22,3936
2016-05-23,5803
2016-05-24,5952
2016-05-25,5042
2016-05-26,5059
2016-05-27,5222
2016-05-28,4205
2016-05-29,3955
2016-05-30,6682
2016-05-31,8139
2016-06-01,6356
2016-06-02,5496
2016-06-03,5611
2016-06-04,3727
2016-06-05,6075
2016-06-06,5785
2016-06-07,5682
2016-06-08,5467
2016-06-09,5400
2016-06-10,4683
2016-06-11,3387
2016-06-12,3840
2016-06-13,6987
2016-06-14,6215
2016-06-15,5908
2016-06-16,6558
2016-06-17,5700
2016-06-18,4728
2016-06-19,4979
2016-06-20,6795
2016-06-21,7290
2016-06-22,6206
2016-06-23,6226
2016-06-24,13814
2016-06-25,7895
2016-06-26,3996
2016-06-27,7592
2016-06-28,5939
2016-06-29,6640
2016-06-30,5826
2016-07-01,4739
2016-07-02,4065
2016-07-03,4181
2016-07-04,5067
2016-07-05,5436
2016-07-06,5159
2016-07-07,5614
2016-07-08,4961
2016-07-09,4403
2016-07-10,4958
2016-07-11,6052
2016-07-12,6114
2016-07-13,6308
2016-07-14,5567
2016-07-15,5031
2016-07-16,3513
2016-07-17,3605
2016-07-18,5372
2016-07-19,4817
2016-07-20,5159
2016-07-21,5286
2016-07-22,7378
2016-07-23,3913
2016-07-24,3585
2016-07-25,5778
2016-07-26,6630
2016-07-27,7054
2016-07-28,5402
2016-07-29,4893
2016-07-30,3817
2016-07-31,64893
2016-08-01,5404
2016-08-02,6526
2016-08-03,12571
2016-08-04,7326
2016-08-05,5518
2016-08-06,3939
2016-08-07,5371
2016-08-08,6600
2016-08-09,7311
2016-08-10,7124
2016-08-11,4788
2016-08-12,4367
2016-08-13,4284
2016-08-14,3225
2016-08-15,4552
2016-08-16,4954
2016-08-17,5144
2016-08-18,5975
2016-08-19,5947
2016-08-20,3367
2016-08-21,3504
2016-08-22,5013
2016-08-23,5371
2016-08-24,5594
2016-08-25,6029
2016-08-26,5930
2016-08-27,3871
2016-08-28,3885
2016-08-29,5889
2016-08-30,5165
2016-08-31,5566
2016-09-01,5602
2016-09-02,4711
2016-09-03,4217
2016-09-04,4105
2016-09-05,5064
2016-09-06,5804
2016-09-07,5684
2016-09-08,5859
2016-09-09,5314
2016-09-10,3839
2016-09-11,3555
2016-09-12,7979
2016-09-13,6646
2016-09-14,6476
2016-09-15,6843
2016-09-16,6964
2016-09-17,5955
2016-09-18,4715
2016-09-19,5852
2016-09-20,5867
2016-09-21,5314
2016-09-22,6255
2016-09-23,4653
2016-09-24,3325
2016-09-25,3411
2016-09-26,5764
2016-09-27,5052
2016-09-28,7060
2016-09-29,4842
2016-09-30,4715
2016-10-01,4679
2016-10-02,3819
2016-10-03,4982
2016-10-04,5507
2016-10-05,5461
2016-10-06,5002
2016-10-07,5504
2016-10-08,3439
2016-10-09,3342
2016-10-10,4481
2016-10-11,5531
2016-10-12,6388
2016-10-13,5374
2016-10-14,4769
2016-10-15,3356
2016-10-16,3526
2016-10-17,5392
2016-10-18,5280
2016-10-19,5206
2016-10-20,4713
2016-10-21,7164
2016-10-22,3231
2016-10-23,4181
2016-10-24,5294
2016-10-25,6528
2016-10-26,5212
2016-10-27,5174
2016-10-28,5160
2016-10-29,4577
2016-10-30,3760
2016-10-31,5931
2016-11-01,5479
2016-11-02,5663
2016-11-03,5467
2016-11-04,5022
2016-11-05,4244
2016-11-06,4690
2016-11-07,6714
2016-11-08,6699
2016-11-09,6856
2016-11-10,5944
2016-11-11,5182
2016-11-12,3758
2016-11-13,3917
2016-11-14,17918
2016-11-15,10148
2016-11-16,10633
2016-11-17,9914
2016-11-18,13489
2016-11-19,7805
2016-11-20,10493
2016-11-21,9625
2016-11-22,11082
2016-11-23,13132
2016-11-24,10644
2016-11-25,8437
2016-11-26,8621
2016-11-27,9149
2016-11-28,12098
2016-11-29,8977
2016-11-30,6291
2016-12-01,5994
2016-12-02,5637
2016-12-03,3856
2016-12-04,4400
2016-12-05,5617
2016-12-06,5913
2016-12-07,5821
2016-12-08,5961
2016-12-09,5225
2016-12-10,4593
2016-12-11,4277
2016-12-12,5638
2016-12-13,6456
2016-12-14,6192
2016-12-15,5861
2016-12-16,5450
2016-12-17,4090
2016-12-18,4173
2016-12-19,5857
2016-12-20,6391
2016-12-21,6735
2016-12-22,7000
2016-12-23,6753
2016-12-24,4587
2016-12-25,3841
2016-12-26,4905
2016-12-27,5821
2016-12-28,6911
2016-12-29,8320
2016-12-30,8468
2016-12-31,4265
2017-01-01,3545
2017-01-02,10750
2017-01-03,12945
2017-01-04,11241
2017-01-05,13710
2017-01-06,10802
2017-01-07,7044
2017-01-08,6158
2017-01-09,8991
2017-01-10,8629
2017-01-11,9831
2017-01-12,9437
2017-01-13,9138
2017-01-14,7410
2017-01-15,4970
2017-01-16,7381
2017-01-17,9667
2017-01-18,7883
2017-01-19,8435
2017-01-20,6619
2017-01-21,4600
